#{"t_start": 1686698292.9367058, "env_id": null}
r,l,t
-61.40928,352,75.284024
-38.986847,356,77.186496
-80.11787,357,78.236797
-60.64482,364,80.962425
-60.532116,364,80.963425
-53.151707,371,83.367969
-80.89992,373,84.674263
-73.55611,378,86.502719
-14.343769,350,154.87716
-14.652776,350,156.637635
-19.843246,365,161.187737
-24.954374,359,162.297988
-21.079632,365,164.648545
-31.351963,365,167.316161
-18.163704,363,167.316161
-21.621727,366,169.58602
-14.6814575,356,227.914187
-16.521849,357,230.008698
-7.5896993,353,233.366497
-20.733555,358,235.188967
-22.346666,363,238.357044
-10.652781,361,240.112162
-18.268005,368,242.272706
-9.018369,365,243.685025
-10.251952,354,286.215655
-14.756495,364,287.862052
-10.134202,366,291.678951
-5.5258617,365,292.968253
-7.8281555,360,294.714716
-10.903835,356,295.730016
-9.703751,357,298.223621
-12.862347,371,300.220399
-12.759694,360,344.67756
-2.992004,356,345.62289
-10.746692,359,350.967108
-7.3987217,363,351.912358
-11.178858,355,353.099693
-28.95473,345,354.70308
-12.133319,361,355.912395
-5.6437497,364,359.312187
-7.2558727,355,396.884745
-10.668324,355,397.881995
-2.8537745,351,402.285001
-3.5837564,341,402.285001
-13.389008,351,403.343253
-4.722755,347,404.452519
-9.224911,351,404.452519
-6.782671,353,408.46979
-20.32024,346,457.520499
-18.835203,337,462.044579
-15.238924,340,463.117872
-45.818592,367,464.830574
-16.611206,344,465.95384
-20.345133,358,468.831503
-37.275375,363,470.586899
-7.794812,347,473.578588
-6.7630095,344,515.959155
-10.237524,365,517.325476
-17.912926,353,518.954153
-8.371378,349,519.930381
-16.512161,353,521.770905
-22.415834,346,523.948435
-13.531217,357,525.516867
-7.8528633,360,529.374813
-9.395724,344,569.240904
-15.808175,355,571.294368
-5.5595517,351,572.773749
-2.9241855,353,574.052089
-23.039581,351,575.501457
-13.758232,354,578.244144
-15.118829,357,580.596676
-20.827724,351,584.449557
-8.076684,341,620.377812
-11.17775,335,621.432128
-4.7962265,342,623.807725
-7.3003564,342,625.57721
-7.8339095,332,626.674505
-14.452361,350,627.814781
-9.272556,339,630.323347
-16.944483,355,636.540764
-6.7672467,346,671.055619
-3.5469522,348,672.277921
-6.828711,342,673.764275
-2.2005014,357,677.378232
-7.596835,343,678.662586
-6.0791364,363,680.216029
-4.651945,366,681.176284
-8.582442,359,687.21865
-6.24687,344,723.578434
-12.689605,354,725.198893
-5.6691074,355,727.362407
-6.135366,344,729.70396
-6.321904,352,732.206538
-15.707646,354,734.267027
-8.960352,358,735.75538
-13.289189,358,742.871012
-13.508799,348,781.824812
-13.523256,358,783.249172
-7.70465,363,787.576168
-32.60702,360,790.234849
-11.645598,353,791.834261
-14.267354,349,793.937742
-13.485932,358,795.291139
-19.108692,357,802.638858
-9.033376,351,836.43751
-4.926608,363,838.481074
-12.861595,350,841.381748
-13.798722,354,844.118378
-14.728376,360,846.575996
-12.129417,361,848.756907
-23.79201,379,852.630838
-11.261437,348,856.029629
-18.610825,351,892.705944
-13.630477,348,894.250292
-21.41989,347,896.990991
-6.3516192,336,897.994271
-13.945372,346,901.677167
-5.6592875,351,904.474835
-12.2078285,353,908.423727
-12.2540865,358,911.774483
-17.976513,355,946.448323
-3.8836222,350,946.448323
-22.650307,347,948.729888
-16.811556,358,951.376497
-4.9026384,350,953.855069
-14.154314,347,956.134694
-13.939464,347,959.834543
-15.450996,351,963.839524
-8.33702,336,992.536066
-19.823683,360,995.519752
-9.506616,365,997.089176
-8.9737425,349,998.413492
-8.689596,351,1001.030195
