#{"t_start": 1686578876.344787, "env_id": null}
r,l,t
-76.712135,355,84.432232
-62.64814,361,86.785776
-83.59045,361,86.785776
-129.04143,366,88.98948
-76.486755,367,90.037734
-72.105995,368,91.034039
-89.681496,370,92.253358
-99.28787,378,94.683023
-19.951296,354,161.781263
-27.719118,355,162.837515
-26.154709,367,165.115362
-30.264713,358,166.785739
-23.776247,358,168.069059
-37.514397,368,170.205585
-27.578009,374,172.635203
-52.177998,367,174.255606
-30.445076,361,245.666152
-25.191216,367,248.31575
-31.449554,356,249.445055
-31.10168,364,250.824365
-19.662855,361,251.891695
-29.98915,361,254.344275
-31.1086,359,256.949145
-50.74989,377,259.994859
-29.97122,358,326.117786
-42.11297,366,327.289051
-34.919853,361,329.328511
-27.956146,368,331.355005
-52.88575,375,334.635746
-34.014034,370,336.390142
-26.527338,369,338.978739
-30.867033,360,340.747212
-33.67933,360,408.259802
-23.490562,358,409.825204
-26.877838,377,412.668846
-41.364906,376,412.668846
-26.692062,359,414.108196
-37.366665,368,420.314597
-32.00595,381,420.314597
-19.87678,373,420.314597
-18.527792,360,492.536058
-34.05203,357,495.632787
-31.170893,369,497.499265
-25.496925,365,499.917843
-21.072313,369,500.950246
-18.11026,360,505.536295
-30.384464,366,507.402715
-14.970028,367,508.374953
-6.320387,352,557.246998
-19.569336,367,562.933326
-14.241611,364,563.948568
-12.948168,360,565.24086
-13.753849,354,568.211548
-29.647654,376,569.639115
-10.1660185,354,571.023046
-18.805641,377,575.291093
-19.732801,356,626.825753
-14.928233,360,633.123187
-18.63861,366,635.870537
-13.732729,356,637.92867
-15.1605015,377,637.92867
-12.806751,365,639.969144
-14.931212,375,643.683996
-22.840284,368,647.014761
-35.31045,343,698.812493
-21.256996,373,700.071777
-22.267553,356,707.628518
-20.11361,370,708.714763
-25.34692,366,710.102091
-28.16347,369,711.362427
-14.951327,358,714.047032
-19.876942,363,717.715861
-16.824722,358,763.938919
-13.343684,371,766.497873
-18.188929,354,770.389787
-13.147028,354,771.750131
-14.581872,352,772.724388
-10.017804,376,776.032186
-22.008291,363,777.809587
-11.450534,360,780.620233
-13.789706,365,829.82319
-14.419373,363,832.723367
-13.229211,349,834.564541
-17.549614,364,839.007977
-13.678786,349,840.159118
-16.893616,370,841.631449
-11.2397375,357,847.275506
-15.4573345,376,848.577163
-17.58011,349,904.851356
-16.021744,366,910.98562
-12.439974,361,910.98562
-12.460807,343,911.90893
-21.24196,359,915.741071
-8.75351,373,919.002255
-5.459658,352,920.880457
-10.956204,360,922.404065
-13.17194,361,965.700326
-5.803065,350,969.130774
-11.807898,352,970.353784
-2.9973254,357,972.106593
-14.328087,349,974.590997
-14.402259,355,978.992421
-11.337776,349,980.281943
-10.837569,362,983.657758
-20.396103,356,1027.508483
-12.476962,348,1029.532056
-11.495525,353,1031.681053
-10.281056,364,1035.335342
-6.6499267,370,1038.945626
-16.764961,359,1041.733269
-13.442009,363,1043.403658
-19.195087,350,1044.915
-8.606554,358,1089.976017
-15.619587,362,1092.996068
-7.338883,369,1096.389743
-11.972676,362,1099.129819
-10.857505,352,1101.138048
-14.675956,342,1104.755722
-13.192996,352,1106.339337
-13.563848,361,1107.657712
-8.328362,345,1153.494274
-15.192426,345,1160.605059
-16.169308,370,1161.662755
-12.659689,364,1163.822522
-13.954957,359,1166.309294
-9.94713,353,1168.67654
-4.144126,350,1169.672306
-15.501923,356,1171.549236
-18.873577,350,1214.361066
-14.943748,357,1223.111159
-13.732584,341,1224.510083
-12.361443,362,1225.466266
-15.032005,354,1226.467018
-19.932041,348,1235.098632
-19.320528,354,1237.101084
-6.2286963,362,1239.61169
-7.0988994,354,1276.3228
