#{"t_start": 1686786747.3965194, "env_id": null}
r,l,t
-56.209618,351,81.645556
-65.39282,360,85.079649
-37.398926,365,87.129683
-46.83285,366,88.333955
-71.04407,366,88.333955
-40.75216,371,90.489229
-41.24139,372,91.640276
-63.77625,378,93.590677
-19.715282,354,167.552482
-17.033155,350,171.468537
-8.6218605,353,172.723785
-19.290434,354,175.460431
-9.950625,370,177.209621
-9.63259,366,179.807421
-23.322636,371,179.807421
-22.366102,367,182.234101
-10.148545,355,243.069579
-8.990299,349,245.48446
-9.31337,354,246.970796
-6.0215516,359,251.123241
-14.756268,352,252.889543
-13.778224,352,252.889543
-13.783667,361,254.033785
-11.165898,360,256.546356
-7.315043,351,301.900134
-9.073894,355,304.721419
-9.856317,355,306.139755
-13.895754,341,307.141981
-10.243012,356,311.052253
-12.340521,359,312.345544
-2.1295116,359,313.454165
-6.660525,363,316.471427
-7.473117,340,361.951376
-6.0130763,345,365.478172
-10.707988,355,368.365824
-8.342501,358,369.823153
-19.52639,346,372.058661
-4.197401,352,373.82706
-2.0908186,360,375.036138
-4.305248,355,378.046458
-9.201637,354,421.934979
-5.8915625,354,425.34875
-1.833333,351,427.7863
-13.777798,349,428.953563
-4.8176575,362,433.282541
-3.9784346,360,435.420023
-11.315615,370,437.073396
-8.13893,364,439.799012
-8.272289,348,476.405275
-14.289553,349,479.902065
-5.3063097,360,483.773939
-9.825478,359,484.855183
-9.775742,359,489.195951
-12.822535,351,490.200178
-6.507251,363,495.285326
-9.744993,378,495.285326
-1.5807449,348,527.800493
-3.312573,366,528.814723
-7.4305453,354,532.518559
-3.561418,359,534.006901
-4.4934583,343,535.721287
-6.9704003,372,540.086273
-1.5167563,349,541.9787
-2.4292116,363,544.002157
-11.444489,357,575.179225
-5.7402697,359,576.153445
-4.92839,360,580.574942
-1.8006753,364,582.618663
-2.5157728,364,584.118041
-1.9342425,357,588.531394
-6.208262,376,590.27782
-5.773233,353,591.333082
-7.406673,349,618.4598
-5.5295424,369,621.636527
-3.610409,367,625.206333
-2.1610372,364,626.757695
-4.310983,361,628.022981
-4.065804,361,632.818107
-5.659415,356,634.174413
-6.0827875,373,636.46393
-1.6314604,366,663.574762
-1.359281,384,668.703732
-2.4229004,353,669.819639
-2.389298,362,670.855881
-3.936271,362,673.077648
-2.3622713,344,675.544202
-6.2404785,352,677.753701
-3.3499453,352,679.936193
-1.6111012,348,704.84739
-4.946436,362,710.957779
-2.1651938,352,712.023032
-1.1452335,379,713.859471
-1.0311886,382,715.267826
-0.6740974,373,717.466357
-0.9470254,369,719.029709
-1.3973727,358,720.189984
-2.6979828,360,742.830122
-2.202764,354,748.86986
-1.0035615,371,750.892316
-1.1237341,363,752.362661
-1.6989213,370,754.453134
-2.702105,356,755.652417
-1.956723,347,755.652417
