#{"t_start": 1686764451.125077, "env_id": null}
r,l,t
-50.666996,357,90.482267
-47.59857,361,92.563303
-45.534122,367,95.347294
-60.47899,367,95.347294
-58.614105,367,95.347294
-78.411125,370,96.999399
-51.67165,370,97.000399
-76.401665,372,98.385846
-12.561408,357,177.454123
-13.237736,352,180.935271
-20.154049,368,182.976019
-9.69194,363,184.159388
-22.64847,361,185.228552
-18.827425,368,187.525065
-9.956644,376,189.491509
-14.790297,376,189.491509
-9.054382,362,258.862511
-10.756148,364,262.630118
-6.7500234,359,263.768735
-12.036896,354,265.317484
-8.345299,364,266.435088
-8.766357,362,269.762917
-7.068346,366,271.381925
-14.608209,383,273.244354
-7.1593957,362,336.118481
-8.78198,350,336.118481
-7.260835,350,337.170046
-9.938922,351,341.756069
-13.8068285,368,343.746331
-12.482098,378,346.46947
-6.28497,366,348.104409
-7.040554,363,349.296678
-3.296879,359,402.348493
-6.5168586,360,403.594973
-4.904377,361,403.595974
-2.22036,344,404.675217
-14.1571665,360,411.290367
-6.6696424,369,411.290367
-3.1972818,361,412.955124
-4.275208,364,414.456466
-1.2333357,340,464.813917
-9.047884,346,467.227182
-18.83257,360,471.008283
-6.322457,361,471.008283
-9.269764,352,475.371816
-4.4529805,362,477.733532
-7.2423744,356,477.733532
-5.9350324,372,481.334272
-20.673677,359,525.131704
-3.9598036,347,527.831916
-15.296993,352,529.622541
-7.967048,369,530.798552
-7.2487097,348,535.444815
-8.143798,374,538.981669
-1.7997777,367,540.245904
-5.6949134,362,543.787566
-22.226557,345,596.164966
-6.103744,352,601.01095
-21.477137,353,603.854492
-5.9495287,359,605.506865
-15.82514,349,609.896698
-8.438382,356,614.935662
-6.243084,339,616.15594
-10.495695,361,617.859325
-5.962335,346,664.52533
-2.4142795,356,670.530741
-6.715899,351,672.703992
-8.39128,366,675.251239
-7.8719864,350,676.924091
-6.1815724,341,680.58228
-2.3134098,354,682.304704
-3.3990748,356,682.304704
-6.4089417,350,724.400449
-5.7584176,349,729.739709
-10.553724,345,732.989341
-6.282797,357,734.026081
-6.3719597,353,737.459002
-12.68938,346,740.664627
-9.33076,341,741.817659
-5.696352,370,746.128044
-14.965403,352,793.413138
-11.394239,355,800.260112
-8.513541,345,801.904163
-8.999425,368,807.417714
-10.522991,345,809.59392
-9.792414,347,809.59392
-29.448593,363,810.723174
-9.281636,355,817.455091
-7.4737043,336,863.13199
-10.180313,367,864.181962
-14.898333,362,869.949766
-3.8336816,330,869.949766
-8.248757,340,871.146489
-13.938181,348,874.402574
-11.42697,351,875.857903
-13.435791,354,882.53432
-4.168346,345,923.158813
-5.7407093,358,927.209506
-16.482859,345,931.209368
-16.489107,345,932.481655
-10.935056,350,933.777218
-4.7951956,347,936.605788
-8.927389,349,938.157213
-7.8403525,337,943.134806
-4.1800785,352,988.942882
-11.0538025,344,990.800205
-3.4798317,352,995.766543
-3.713419,355,997.435435
-6.7112184,340,998.63471
-6.729405,362,1000.723705
-10.975823,354,1003.262697
-9.487922,342,1006.662991
-7.3497624,352,1052.560857
-13.537816,356,1055.194218
-7.2184134,354,1059.657956
-9.917137,358,1062.129548
-8.530538,337,1062.129548
-6.8081594,357,1063.146252
-3.2120032,352,1064.421553
-5.5660076,356,1068.970014
-9.892111,349,1109.511606
-10.263018,340,1110.549515
-13.498546,336,1116.100786
-8.845,352,1118.124906
-3.9915395,354,1120.5255
-6.6697216,352,1121.650297
-6.7172174,355,1121.650297
-6.107805,356,1127.062279
-10.056125,347,1170.214311
-5.1380157,350,1171.826652
-3.429162,340,1175.681204
-6.9700994,341,1180.143406
-9.877372,347,1181.968422
-21.329483,350,1183.100696
-3.6747057,370,1185.196712
-7.749197,372,1192.738389
-10.134797,355,1233.303613
-1.988779,351,1233.303613
-10.968358,353,1237.715192
-17.293188,336,1240.242333
-5.800823,349,1242.979857
-3.961725,357,1243.92145
-6.051282,358,1247.071167
-4.643119,350,1253.593811
-7.4994917,349,1292.615952
-4.896596,352,1294.025276
-4.883591,342,1296.334826
-7.0703025,347,1299.537521
-5.9689302,342,1301.640472
-2.4456043,354,1304.516581
-7.751774,356,1307.96209
-7.4885335,353,1314.655452
-3.3122315,353,1353.544684
-5.44003,352,1354.738371
-4.3058786,346,1358.167331
-2.729597,368,1360.037617
-3.9614184,356,1362.559442
-6.029976,352,1364.918023
-15.229746,353,1368.953388
-2.513441,356,1375.523319
-6.15444,347,1407.884567
-2.425668,357,1409.795697
-4.8517523,354,1412.980037
-1.9471662,354,1414.944009
-5.958738,345,1417.544005
-6.112138,355,1418.5403
-9.761166,354,1423.058695
-5.2249484,360,1429.708699
-6.1312737,358,1463.547015
-2.6138384,350,1463.547015
-8.078989,354,1467.922692
-9.415769,360,1470.802643
-1.3938333,353,1472.268633
-6.64817,356,1473.678957
-2.5226924,353,1477.366786
-4.4733095,350,1483.748516
-3.2004175,348,1516.688041
-2.4682314,364,1519.725478
-5.6191845,362,1523.244555
-2.317354,365,1526.225287
-4.24555,345,1528.918487
-4.099171,370,1528.918487
-0.9675368,379,1530.294559
-1.1150373,363,1537.790292
-3.8084052,358,1567.435892
-1.6723994,347,1568.969654
-6.3203883,345,1572.227912
-3.057356,341,1577.757938
-5.055228,348,1578.953587
-5.5037165,351,1580.173889
-11.312343,366,1581.23958
-2.1961076,350,1589.44627
-7.1882424,355,1621.063822
-5.5663495,357,1622.849036
-3.95958,364,1626.623657
-3.2209344,348,1629.380918
-4.292163,354,1631.246351
-7.031141,365,1632.710682
