#{"t_start": 1686832797.247814, "env_id": null}
r,l,t
-54.491123,355,78.759911
-46.64959,355,78.759911
-57.367153,364,81.602642
-47.00154,365,82.744009
-39.211517,372,85.173866
-86.61094,375,86.669283
-59.37053,376,87.810639
-69.415375,377,88.861116
-16.085915,349,152.837577
-23.838255,352,156.654433
-18.577513,355,157.909733
-20.854149,374,160.74742
-27.278183,361,163.541047
-9.53232,365,164.652296
-14.152536,370,165.789553
-7.2747664,372,167.439926
-9.615426,351,213.600303
-7.6607304,358,217.881406
-8.602555,354,219.675931
-9.980768,366,219.675931
-11.181796,360,222.899659
-15.09562,350,222.899659
-9.507079,363,224.453046
-11.0736885,375,226.491567
-10.348974,360,269.923306
-12.368993,351,273.055008
-9.884573,353,275.42154
-10.442971,363,278.138148
-13.193769,355,280.1496
-5.6798105,355,280.1496
-5.4419427,351,281.486899
-8.994785,365,286.832098
-9.928495,339,342.910228
-11.999374,363,344.386559
-17.397068,370,349.274655
-21.665257,347,351.109066
-4.6222973,358,352.071282
-10.544977,357,353.815673
-9.993899,363,355.530058
-4.788474,338,356.644308
-5.4094706,343,395.746509
-16.889778,350,397.080834
-8.087836,341,400.509603
-11.3152,341,402.105961
-7.950373,348,402.105961
-6.4970727,355,403.184203
-8.415389,355,405.854806
-5.52397,365,407.983284
-8.553728,346,446.22387
-13.329701,351,447.177083
-18.467218,357,452.675316
-14.321687,354,454.026619
-6.415087,355,455.228889
-7.326533,358,456.202107
-2.785139,357,459.169772
-8.055924,346,460.116985
-5.0007834,349,493.44946
-2.6063764,364,496.120071
-5.4567924,341,498.21054
-3.2344093,347,500.009943
-6.583956,359,501.494276
-3.6371486,353,502.482515
-5.4111786,348,504.702013
-4.568601,352,506.049315
-5.9577436,341,543.562431
-4.230705,368,544.545742
-3.153303,359,546.103117
-2.2115402,349,548.546744
-4.0618505,358,549.651374
-5.146115,360,551.334819
-5.8324366,353,552.828238
-5.6198335,350,553.892476
-3.1121297,341,583.500226
-4.3206925,364,586.923057
-5.507878,368,588.936797
-8.678243,351,589.883035
-1.7380941,352,591.575152
-2.1563056,365,592.520425
-2.3981302,350,593.696687
-3.2174623,357,595.653533
-3.7681506,360,623.804298
-1.3797263,365,627.907231
-2.1517777,378,628.933461
-0.8053414,369,629.997699
-1.1366512,364,631.300049
-1.9617336,367,632.315321
-0.95225585,365,633.421154
-2.7488966,359,634.513466
-0.56815004,360,661.945019
-2.408576,349,665.66493
-5.1121917,360,667.857768
-1.6935091,361,669.036029
-3.1024594,362,670.46839
-1.7955873,358,671.651788
-2.0285907,372,673.094155
-0.93767875,375,674.39557
-0.6826574,379,701.587089
-1.2585633,359,704.078751
-2.312634,347,705.141773
