#{"t_start": 1686884638.970004, "env_id": null}
r,l,t
-86.3784,354,68.253142
-51.76618,356,69.441408
-64.39593,358,70.750701
-24.289753,360,72.056994
-53.7747,362,73.30731
-67.12434,365,74.61064
-87.101166,366,75.59789
-55.75361,383,78.836617
-19.800272,351,141.618759
-23.536694,357,141.618759
-27.764568,365,144.582423
-22.791689,356,145.643004
-29.285421,367,147.03436
-9.633214,345,148.335652
-11.5531,367,149.406971
-34.40606,374,152.163589
-4.7963743,345,208.632251
-27.14835,349,210.527988
-14.714433,348,213.116569
-18.963545,347,214.595952
-16.534428,350,214.596952
-21.376743,355,217.397588
-11.610345,347,218.704903
-4.7553625,359,219.822179
-18.002474,338,267.218324
-23.424603,347,270.726124
-15.210657,347,273.536754
-8.463032,356,275.348215
-10.548869,341,276.502512
-12.034862,357,277.588839
-14.188772,358,280.353493
-27.522535,357,281.765835
-4.976676,343,325.2551
-21.992779,357,331.0494
-16.260088,351,332.894115
-18.570543,353,335.055606
-11.239029,357,336.808015
-13.09673,358,338.158318
-5.6073885,351,339.679659
-10.943866,350,341.108992
-6.9401183,365,385.963054
-7.8647294,349,389.549889
-9.341509,371,392.766638
-4.617383,366,394.881111
-4.2271795,357,394.881111
-6.6578813,350,395.861344
-7.6225653,363,396.968623
-18.710636,370,399.835282
-6.810693,351,445.207458
-4.25708,370,446.39475
-14.89057,345,450.270666
-14.149803,355,451.250917
-9.134969,353,452.962301
-9.430284,353,454.21262
-10.753424,355,454.21262
-5.299991,356,456.602155
-1.8290544,350,495.040775
-5.660876,363,498.232504
-7.1161222,351,499.93036
-5.4083343,359,502.095845
-14.328223,352,503.417155
-8.205684,355,503.417155
-8.050747,374,507.227098
-15.393216,360,508.716444
-5.4330993,342,542.783212
-5.942334,341,546.610071
-0.59421873,356,547.537349
-1.7839711,358,549.061729
-9.434298,336,551.140774
-1.9851754,359,552.032988
-2.7279234,361,553.057217
-2.938495,347,554.998703
-3.2514725,366,588.014107
-4.955631,350,590.29862
-3.221106,345,591.513904
-5.817433,343,593.540376
-13.290479,365,594.662628
-1.4406931,353,598.021422
-4.0157795,368,599.309711
-8.75932,374,600.529985
-6.2198668,328,631.702985
-3.8803053,352,633.721437
-7.226104,353,636.122976
-5.9300847,349,638.844586
-18.973835,351,640.2449
-3.68845,343,642.433483
-2.9194744,350,644.243902
-4.2146173,349,645.290148
-5.700443,365,676.349113
-3.1784227,363,677.939482
-4.9347844,372,681.22726
-8.981741,368,682.740599
-14.777948,371,684.33797
-10.774313,362,685.639274
-3.384184,357,686.859548
-6.079534,361,688.15085
-5.1947565,344,719.285637
-4.0693235,367,721.937282
-5.140705,360,724.910975
-4.0168543,355,725.836208
-2.0744946,357,727.466574
-5.458623,363,729.346021
-3.977277,372,731.434489
-3.126489,385,733.902056
-2.9199686,343,760.929622
-2.9150527,367,765.817719
-4.6642,352,767.531152
-1.8414001,347,768.770431
-2.5103638,363,770.214777
-4.423081,342,770.214777
-3.9158173,363,774.345722
-4.070566,355,776.237159
-1.4566547,355,800.78049
-1.859881,358,805.565563
-1.469877,359,807.307954
-3.3413975,372,809.785522
-3.0190616,369,810.947783
-3.4250174,378,812.733183
-1.8145472,379,817.733304
