#{"t_start": 1686315610.4790015, "env_id": null}
r,l,t
-16.407785,340,44.798706
-18.123688,361,48.463665
-34.884804,361,48.463665
-32.997482,364,49.533859
-56.551224,369,50.908586
-54.84324,370,51.754946
-103.20086,376,53.252373
-87.32548,376,53.253374
-36.85706,375,86.727998
-20.265697,364,88.572414
-3.123859,367,89.671112
-35.379604,358,89.671112
-20.146233,361,91.38151
-15.926415,369,92.252784
-4.7697725,366,93.356183
-30.596106,388,94.821635
-28.54465,357,125.705607
-4.1380773,371,126.931896
-3.9079802,356,128.619277
-33.437916,370,130.055602
-7.6240873,366,131.919022
-28.68747,376,133.193316
-11.700867,387,134.147531
-3.6803844,371,135.505838
-3.650314,350,167.247004
-0.9616673,364,170.519741
-17.097025,380,171.769024
-15.945113,355,172.646222
-14.611742,355,173.915508
-14.315114,379,175.633896
-15.165899,365,176.731144
-1.8104979,364,177.826391
-13.341939,369,209.085448
-8.063379,365,212.055118
-1.9149277,351,213.343409
-17.198215,368,214.418652
-32.48578,371,215.578914
-16.573935,370,216.965227
-18.015963,371,219.432784
-19.484594,366,220.384999
-5.3253503,362,254.922795
-1.0423106,356,256.863233
-2.3550625,354,258.245546
-1.1016833,370,259.786893
-0.28294888,362,260.674094
-3.0331514,376,261.970387
-1.2355816,367,263.803801
-8.470183,376,265.163107
-5.6637545,350,285.834774
-0.9578496,364,288.439362
-1.7529945,363,289.696646
-2.4639795,354,290.846905
-4.0184293,359,291.807122
-3.7277927,367,293.631573
-0.13161634,368,295.127049
-3.4658885,366,296.129376
-1.5919743,359,313.648344
-1.2217996,357,315.892218
-1.1969086,357,317.05662
-0.8701959,368,318.662147
-1.6058391,370,319.672455
-0.18588164,370,321.382504
-1.3500983,355,322.408735
-4.636891,369,323.742037
-0.5219399,357,339.835242
-1.2774396,342,341.160841
-5.8759427,361,343.569477
-0.61242706,352,344.649875
-0.36489576,356,345.898339
-0.81230676,371,348.496044
-1.4661077,367,348.496044
-4.816107,370,349.868354
-1.4581323,364,366.465767
-0.5045105,366,367.918704
-0.4330583,355,370.002889
-3.7087176,362,370.806442
-1.5974821,372,372.910873
-4.8481436,355,374.44596
-2.621748,357,375.317701
-0.2758505,360,376.82915
-4.8049517,356,393.305264
-0.4332135,359,394.943783
-1.4613378,350,396.323174
-1.808841,358,397.561516
-2.5177886,354,400.282801
-0.49219158,376,401.434442
-3.7989123,363,402.4538
-1.6789131,358,403.71736
-1.1813029,353,424.442327
-1.4847193,360,426.272129
-0.77962375,359,427.648214
-4.035261,372,429.592583
-2.9826174,358,431.552302
-2.8666332,359,432.740115
-2.2430894,356,433.558849
-3.1022325,375,435.666467
-7.6339874,361,449.805092
-0.021173298,366,451.868557
-2.8828003,359,452.850476
-1.2405721,364,454.939149
-0.1800174,359,456.958997
-0.6542607,370,457.88532
-1.4169564,377,459.474827
-0.9368466,361,460.887283
-2.8958492,344,473.559782
-1.4757776,364,476.660584
-1.0201032,370,477.879329
-8.414615,363,479.739143
-3.5327578,367,482.030366
-2.2509785,367,482.953996
-1.1897229,353,483.818226
-0.48107767,359,485.52161
-0.5224438,368,498.466928
-1.7004633,372,501.84716
-0.061916146,368,502.973806
-1.1080031,358,504.202204
-2.2708204,365,506.849509
-3.4308803,374,508.234374
-0.23131044,373,509.050739
-2.1158895,358,509.989128
-2.7489657,359,523.472502
-1.7477565,356,526.806621
-1.1035286,359,528.041163
-1.5165683,359,529.369237
-4.5221725,349,531.582862
-1.6175374,362,533.635375
-5.7210426,365,534.536679
-0.8144445,362,535.377021
-0.9617082,370,549.27353
-0.438748,354,551.65915
-3.04682,358,558.216773
-0.65803826,351,559.12715
-0.2394434,362,561.757875
-0.31997743,352,563.437272
-1.4776187,356,564.308929
-1.1587791,378,565.975398
-0.941874,355,577.964367
-0.43210778,360,580.455062
-0.77912515,353,581.704413
-3.68083,361,582.689314
-0.6489925,359,585.161843
-0.26046905,354,586.594738
-0.1904201,356,587.5116
-1.6555891,354,589.085099
-1.363235,353,600.528858
-0.07585403,362,603.353626
-0.80239683,355,604.443988
-2.3371413,365,605.461356
-1.320069,360,608.111263
-0.14510602,363,609.633985
-1.0050142,348,610.722699
-0.2958944,368,611.589446
-0.32041174,346,623.187794
-0.36410946,350,626.668012
-1.0585798,361,627.637118
-0.6161145,357,628.830444
-0.5758366,342,630.725033
-0.7074719,364,633.366708
