#{"t_start": 1686616730.4776964, "env_id": null}
r,l,t
-56.239773,351,76.63629
-54.79953,363,80.2382
-45.257263,365,81.621517
-76.177414,365,81.621517
-54.013733,369,83.463948
-70.34057,371,84.749239
-62.58032,372,85.863565
-91.640236,375,87.236964
-19.905647,368,162.465451
-35.935707,356,165.867826
-25.973175,361,167.655231
-22.350557,367,169.06955
-30.43622,370,170.278822
-23.839798,367,172.586646
-24.455038,367,174.313035
-30.55513,378,175.427323
-30.366413,360,241.082413
-11.669951,353,243.700616
-16.701666,360,245.537139
-33.296047,372,248.799914
-29.308905,367,251.27594
-32.898438,365,252.602628
-19.33513,376,252.602628
-21.966457,367,253.612972
-24.642412,349,321.613566
-24.914932,366,328.810863
-27.945826,357,330.740494
-36.149345,373,333.218416
-13.571386,356,334.216038
-23.533493,363,336.255845
-29.43307,363,337.582505
-34.3511,374,340.554251
-22.17037,358,404.27468
-25.56353,350,410.541095
-21.717781,354,410.541095
-31.57519,360,415.573375
-27.034338,366,417.505851
-19.66055,361,419.035371
-27.267008,372,421.661007
-29.740585,378,426.442276
-15.81116,361,493.307976
-14.227189,358,498.413168
-14.929869,368,501.630894
-20.128742,360,504.983714
-17.945766,362,507.308269
-24.368841,374,511.251159
-9.287361,371,512.850715
-13.112337,358,514.576105
-14.459862,349,555.956395
-11.074516,362,561.370962
-4.1851506,358,563.107378
-13.477266,364,566.793247
-3.624676,368,569.347842
-7.096061,354,570.353457
-7.0581746,343,571.537755
-19.372288,352,572.668036
-10.791953,374,618.522618
-8.760336,359,621.948966
-6.323206,350,624.729776
-10.615968,372,626.484184
-11.626281,347,627.767529
-4.362552,352,629.566692
-7.5615764,359,631.039025
-12.966916,356,632.16186
-9.252094,351,679.067767
-21.496025,360,684.556005
-11.971073,350,686.860526
-7.966986,360,688.363865
-8.854384,345,689.357114
-6.4497848,357,690.881593
-7.905089,351,692.378968
-12.002576,357,694.193513
-26.008839,359,738.851634
-10.970054,340,744.176917
-9.822358,347,745.183337
-18.383644,362,746.387635
-8.179925,343,748.063013
-10.49447,358,749.686455
-8.138854,368,751.138187
-9.110874,362,754.021851
-11.961773,346,797.770745
-9.70762,355,804.408544
-8.39768,353,805.404908
-25.886866,358,807.943586
-17.091265,365,807.943586
-10.307102,366,810.535587
-9.921359,371,812.668133
-8.86573,354,812.668133
-9.286062,352,856.878653
-2.927338,353,862.078911
-5.1153316,354,863.208448
-4.553777,354,865.320949
-3.6796901,357,866.519258
-4.0584035,340,868.022049
-4.63489,361,870.157566
-3.2786574,361,872.064009
-4.0434775,355,904.25365
-7.0875683,341,908.018692
-4.38115,347,909.340991
-1.5050931,351,912.017779
-3.2690656,360,914.457356
-4.8454485,362,916.265836
-4.3920655,347,917.805235
-12.436151,362,919.224593
-5.8268003,350,953.559919
-15.112921,348,957.568178
-3.119803,366,960.095774
-4.2249007,353,961.840386
-4.928352,355,964.267892
-7.0421915,353,965.800406
-7.9481945,349,966.87679
-3.0933065,352,968.490154
-5.181054,359,1004.319533
-6.60904,351,1007.6564
-4.2518,343,1010.521088
-4.976651,357,1012.353532
-9.331455,339,1014.687241
-16.201645,350,1016.331638
-12.2497425,349,1018.049025
-6.9537473,353,1020.113597
-3.8561783,348,1051.363558
-8.3348465,345,1053.735171
-2.781283,345,1056.059788
-3.8616395,343,1058.518356
-6.889673,357,1059.987548
-5.7702765,351,1061.744957
-2.0067446,356,1063.727405
-4.250567,357,1066.075936
-4.8903847,357,1099.601581
-2.368524,356,1102.152158
-5.443201,346,1103.353596
-10.083369,343,1106.394331
-7.8587794,355,1108.284215
-16.57718,355,1110.762796
-6.9189453,365,1113.885619
-2.338369,353,1114.888963
-3.14341,348,1148.732949
-2.7197053,343,1150.712407
-1.3233285,348,1151.757073
-3.8390954,352,1155.676027
-1.2404001,365,1157.140448
-3.3871224,352,1158.777932
-6.8785496,345,1161.29601
-1.0057515,359,1163.279458
-2.147906,346,1192.42764
-5.309285,339,1193.619031
-3.1200364,350,1195.815591
-1.8582151,342,1199.012116
-3.2514186,349,1201.169642
-4.192737,345,1202.275641
-2.3242145,342,1205.626456
-3.3503861,365,1207.357928
-4.441723,341,1233.338763
-4.2030964,366,1236.513592
-2.3278642,353,1237.697938
-5.3843517,358,1241.243954
-5.220299,351,1242.747365
-3.1784756,336,1245.039531
-3.705269,363,1246.049759
-1.0917932,352,1249.001444
-3.527995,349,1273.886092
-3.2750766,349,1277.199006
-2.126099,361,1279.040191
-2.1451774,343,1281.207757
-4.9752727,346,1282.960474
-3.3646586,351,1285.678457
-2.562152,365,1287.566942
-2.9512198,353,1289.711454
-2.132862,354,1316.145859
-4.2385406,353,1319.812997
-2.6733067,345,1320.805247
-4.2451043,345,1322.937182
-6.422403,354,1325.678989
-4.3028936,340,1328.344891
-2.5534976,356,1329.499254
-3.53316,348,1332.013969
-0.9811254,353,1358.907937
-3.8771644,348,1361.64063
-1.2393444,344,1363.217026
-1.7075169,364,1364.776378
-2.6731207,350,1372.649445
-2.7260232,354,1376.033234
-1.9859194,370,1377.98152
-3.3998363,356,1379.545304
-1.5535489,352,1402.773876
-1.2695377,362,1406.436808
-2.7834496,366,1408.527807
-1.8261926,362,1409.70777
-1.2416898,370,1413.058697
-2.2825453,360,1415.492328
-4.292206,349,1416.534642
-1.8923266,355,1418.573273
-2.5829606,342,1441.130365
-3.4024036,354,1445.851463
-1.6638126,358,1448.094022
-2.6164489,371,1450.334553
-0.49798617,343,1452.506107
-1.7947643,346,1453.449368
-3.4807703,374,1455.352869
-3.6487892,348,1456.741208
-0.8946981,352,1478.858247
-2.1053956,362,1484.459823
-1.5543774,366,1487.326689
-2.1565437,357,1488.827121
-2.7636611,353,1490.601534
-2.5965881,364,1492.564015
-1.4193277,355,1494.181436
-2.3780003,363,1495.234704
-1.3702444,363,1517.511805
-1.5079471,359,1522.937961
-1.9107673,350,1524.771088
-1.6581657,344,1525.661388
-0.6316229,340,1529.258212
-1.6801516,363,1529.258212
-2.747985,354,1530.35546
-1.8854685,352,1531.811874
-1.5597533,373,1558.857993
-3.6259594,357,1563.079662
-1.829755,355,1564.925173
-6.0695276,368,1567.096777
-10.231506,341,1569.407312
-1.2898048,352,1570.591698
-0.9162021,357,1571.596002
-1.7957118,358,1572.544284
-2.3797648,343,1601.855242
-1.4734825,358,1607.108428
-1.240491,358,1608.808136
-1.5648233,360,1610.764599
-1.1568636,350,1611.932995
-0.7031121,353,1613.314376
-0.9993169,361,1614.905816
-0.47672865,360,1614.905816
-1.162499,356,1638.74523
-1.2783139,344,1642.570298
-1.5030391,348,1644.602473
-1.2136027,363,1648.038047
-2.2088451,352,1649.88159
-2.3247097,364,1650.92189
-2.1813662,354,1650.92189
-0.027532687,374,1652.022194
-1.8239508,363,1676.856962
-3.635783,365,1680.919009
-1.5024296,361,1682.637397
-2.3153255,351,1685.983152
-0.5812219,362,1686.938368
-1.0484655,353,1688.070637
-0.6926352,356,1689.198939
-0.37278134,373,1691.576498
-3.4065652,373,1715.793117
-1.810123,348,1717.753575
-0.89457554,350,1719.642046
-0.79147536,347,1722.842847
-2.382074,357,1724.644323
-2.1982772,363,1726.27269
-0.6656155,365,1727.551126
-1.7815448,361,1729.607604
-4.465025,342,1753.832294
-2.2152057,367,1755.812287
-2.359683,346,1756.931577
-0.5618847,350,1760.075332
-1.6581405,351,1761.879078
-2.2541306,358,1763.984553
-1.3137462,356,1765.065848
-0.9199023,358,1767.313355
-2.5011752,342,1791.527768
-1.8968661,359,1792.764048
-1.7754107,355,1794.833517
-2.6118996,349,1797.982228
-0.34267947,340,1800.691868
-1.6869117,359,1801.796136
-3.1558893,349,1803.422504
-4.3945746,364,1807.015315
-0.3775315,351,1835.636266
-1.6276531,362,1838.12283
-0.5882774,358,1839.709186
-1.1934949,361,1842.945916
-1.1202328,344,1844.037163
-1.0102361,341,1844.037163
-2.2287297,353,1846.695763
-1.0014821,358,1850.881593
-0.5882124,360,1873.047648
-1.9305015,353,1874.63935
-0.1492499,362,1876.907959
-1.502338,343,1878.718368
-1.0033554,349,1880.130699
-1.5795312,355,1881.344023
-1.2569385,339,1882.754355
-0.78876007,356,1888.278637
-2.2598872,345,1910.258599
-0.9495944,345,1912.057044
-4.549844,343,1915.240761
-0.71130174,358,1916.489174
0.008735778,354,1918.291605
-1.7697542,360,1919.937044
-1.8147383,354,1920.88027
-0.85540634,342,1924.955592
-0.7177839,359,1946.772656
-1.3144064,360,1948.323645
-0.7811833,341,1949.654984
-1.2948335,353,1951.949529
-2.2364376,335,1953.144848
-0.7052598,356,1954.875278
-0.5122461,354,1956.357704
-0.93747944,361,1961.185807
