#{"t_start": 1686099854.2415228, "env_id": null}
r,l,t
-18.99957,344,35.339678
-12.976797,363,37.970548
-18.850458,363,37.970548
-9.399928,363,37.970548
-12.771259,368,39.123809
-30.01644,370,40.107869
-7.872533,375,41.146107
-9.390453,378,42.160336
-3.528356,359,73.042137
-10.438671,355,75.497811
-4.804367,354,76.697604
-12.091595,359,76.697604
-17.084028,365,78.804635
-3.9289627,374,79.790642
-8.376815,362,79.790642
-3.0726237,364,80.93084
-8.772139,364,111.312284
-0.3451705,362,113.836047
-4.91061,366,113.836047
-9.961257,355,115.057333
-0.69117707,354,115.888521
-0.06461271,370,116.701705
-7.256364,362,118.183803
-13.770227,367,119.733153
-0.04030755,369,142.619499
-0.007229582,348,143.676738
-1.9571469,357,145.128537
-3.8968604,370,146.346832
-0.42464513,370,146.346832
0.014930744,376,147.904269
-4.253427,371,149.019524
-0.42264178,371,150.367828
-0.37051016,355,172.081991
-0.58580565,360,173.739563
-3.9136143,359,174.943877
-1.5098639,377,174.943877
-6.534305,375,176.949714
-1.2224034,359,176.949714
0.107192464,367,177.918494
-0.33558446,386,180.46667
-0.7586519,364,203.508798
-2.9124238,390,205.097116
-0.18682018,358,205.972314
-0.42100966,376,206.830508
-0.84009033,364,207.83014
-0.43101865,385,208.862552
-0.49178076,371,209.901786
-0.123357676,368,212.132372
-0.110392034,355,229.645148
-2.1969965,364,231.664615
-0.46752205,368,232.556616
-0.9041595,370,233.650865
0.041447233,365,234.628092
-0.29947346,360,235.470029
-0.1205172,376,236.495261
-0.7785099,368,239.125088
-1.289981,370,257.593683
-4.0042377,370,260.07784
-1.4304713,373,260.901026
-0.67039835,372,262.137507
-1.9207823,367,262.137507
-1.6742527,369,262.978063
-0.9574863,367,263.936283
-1.072658,363,266.184859
-2.2153003,372,287.892794
-0.38069785,357,289.373904
-1.1147703,349,290.360127
-0.87529945,364,291.230324
-0.55522,360,292.215347
-0.51553816,366,293.309997
-0.73738337,373,294.444255
-0.7717515,364,296.402686
-1.4738249,353,315.53346
-0.65588784,369,315.53346
-0.3587975,361,316.858102
-0.8011831,368,317.68429
-1.3783025,361,318.961549
-1.3785944,369,319.839749
-0.6788619,362,320.999011
-0.8899396,377,324.083416
-0.1159049,353,340.738523
-0.4018705,367,342.256866
-0.2987137,347,342.256866
-0.9935267,364,343.40522
-0.20003027,356,344.350434
-1.0673424,368,345.17762
-0.72192067,371,346.973954
-0.034046445,375,349.96743
-0.69454515,359,368.714712
-0.6979505,351,369.832246
-1.7342224,366,371.581704
-1.3876021,361,372.835386
-1.9474137,366,373.874675
-0.7449907,353,375.128958
-2.1009398,380,375.974376
-0.5293058,364,379.474185
-0.16556679,365,395.098618
-0.668831,371,395.098618
-0.6809657,359,396.346912
-0.030490976,366,397.892343
-1.2924311,353,397.892343
-0.15176687,360,399.10943
-0.026870422,372,399.979082
-0.9888966,366,403.675919
-0.8036417,355,418.975654
-1.6075102,356,419.813843
-1.0158386,342,421.06413
-0.20959413,368,422.449622
-0.29345483,367,423.871254
-0.5709551,361,424.881488
-0.26273626,381,429.253924
-0.19243927,369,432.243081
-0.055082694,349,445.605726
-0.9940275,361,447.488941
-1.36914,370,447.48994
-0.5759266,365,449.06147
-0.9865717,362,450.535958
-0.6288275,366,450.535958
-1.1458946,361,452.328668
-0.60359067,352,455.21082
-0.468876,347,469.078276
-0.25088128,351,471.341293
-0.7255133,376,473.508796
-0.71498495,366,474.54508
-0.8904588,357,475.532333
-0.270455,370,476.923647
-0.47982728,357,477.895893
-0.5984008,368,481.298674
-1.0099186,365,494.247598
-0.56948525,369,499.428193
-0.17949192,354,500.691368
-0.16604032,361,502.287758
-0.13150528,352,503.28009
-0.49450725,350,504.14636
-0.15890194,376,505.099574
-1.3596464,368,509.374983
-1.16356,365,522.034871
-0.24116004,363,524.104415
-0.15856843,361,525.2357
-0.49284866,355,526.707067
-0.5088801,365,527.815316
-0.3149257,373,529.235682
-0.6148648,377,530.412987
-0.09516505,364,533.494746
-0.07071322,366,545.279406
-0.5156029,365,547.36289
-0.7178122,358,548.163082
-0.09423907,350,549.287361
-0.27228412,350,550.981787
-0.13445014,368,551.922024
-0.49248445,380,554.259552
-0.78920233,361,556.455061
-0.28849247,368,571.05937
-0.84998095,354,572.427714
-0.44024235,358,573.400947
-0.2699351,367,574.87528
-1.7044089,366,576.586734
-0.21109256,365,577.511026
-0.024041755,361,579.746543
-0.6625409,361,581.908342
-0.38197017,350,594.313157
-0.30917242,366,596.404646
-0.38968426,372,597.683948
-0.20064558,361,598.736199
0.00024382038,363,600.490607
-0.2511344,368,601.616911
-0.7785253,372,603.98846
-0.32282037,363,605.789917
-0.06388023,372,617.977693
-0.03367452,351,619.144995
-0.8711991,352,620.449307
-0.35079408,374,622.554827
0.009519661,366,623.870145
-0.024420826,368,625.068415
-0.1127432,349,626.543749
-0.3166993,352,628.363177
-0.87636626,359,643.855722
-0.38877207,354,644.737986
-0.43216607,360,646.301338
-0.4459316,364,648.604859
-0.22246538,362,649.869144
-0.3012056,353,650.679327
-0.3882475,360,652.362732
-0.17055254,375,655.059341
-0.7765278,347,665.948861
0.08083788,367,667.466267
-0.2543254,358,668.780563
-0.48811594,361,671.272138
-0.17003597,354,672.271377
-0.26298904,363,673.419649
-0.5200485,354,674.855986
-0.051299065,361,677.793662
-0.18850727,356,688.793158
-0.7017733,353,690.241498
-0.12608175,358,691.738874
-0.85774755,365,694.409518
-0.67939454,370,695.648855
-0.14719777,373,696.891148
-0.06417489,362,697.777367
-1.0645646,368,700.947136
-0.2541825,350,713.513085
-0.13271354,358,715.279521
-0.37459636,358,716.815933
-0.15126482,357,719.45756
-0.09083614,356,720.583827
-0.4474665,354,721.75009
-1.2012022,354,722.626288
-0.019135347,364,726.17809
0.013798725,362,736.10433
-0.30758005,357,737.632701
-0.046439618,346,738.66203
-0.2604001,357,741.768783
-0.29731384,350,742.629991
-0.5920072,360,744.223363
-0.23096809,370,745.538673
-0.3477549,388,749.959689
-0.37160388,368,758.968763
-0.3434767,358,760.024032
-0.15194948,360,761.159288
-0.2240739,355,764.203014
-0.32987118,354,765.023211
-0.050501365,358,766.792612
-0.42983323,366,768.576014
-0.12980162,369,775.754634
-0.5639319,351,783.766469
