#{"t_start": 1686190957.8234246, "env_id": null}
r,l,t
-18.467583,361,36.374462
-63.653873,362,37.24866
-25.728456,362,37.24966
-36.91969,362,37.24966
-29.708174,363,38.049939
-23.930277,370,39.451255
-18.067825,371,40.277441
-64.09038,375,41.398695
-23.577648,362,78.342805
-29.200932,356,80.050824
-43.90868,362,80.939607
-22.750456,371,81.81681
-2.9605346,373,82.648726
-5.3621373,371,82.648726
-21.603048,375,83.70899
-23.643568,366,83.70899
-4.820348,352,120.420645
-36.021946,364,121.663925
-0.49484003,357,122.748398
-14.894656,365,124.308759
-4.203374,364,125.428036
-12.615242,372,126.398268
-1.5592585,369,127.362517
-16.348993,373,128.213372
-0.6277334,356,149.014761
-0.16425684,358,150.11501
-0.7021301,367,151.496769
-0.5659763,362,152.690795
-2.0338936,359,152.690795
-1.7065881,368,153.556844
-0.122946024,364,154.589834
-0.4552668,377,155.721089
-11.679012,356,178.124367
-1.5325776,373,179.587697
-0.04436944,371,181.363111
-0.46578532,365,182.177318
-1.1104366,366,183.083534
-0.7209826,368,183.887716
-1.195062,373,185.323169
-5.8268437,371,186.395438
-0.6918842,357,209.726757
-0.27208352,364,211.661284
-3.4211335,360,213.073844
0.096368626,358,213.944067
-1.1872958,369,215.105413
-3.2531145,369,215.994705
-2.8186498,360,217.154072
-1.4433292,372,218.285367
-18.846766,370,238.074834
-6.396648,343,239.163162
-16.453262,363,240.319758
-3.844207,356,241.36209
-4.746047,358,242.911454
-6.8902283,361,243.753644
-0.26414135,365,245.191018
-1.4300519,368,246.475333
-1.9840064,345,265.475743
-2.2816043,356,266.718023
-6.0993094,340,266.718023
-4.394552,366,269.097879
-3.9288049,354,270.45044
-3.2712805,363,271.765742
-2.2510722,365,273.613161
-6.429876,365,274.930469
-0.35392603,368,295.910661
-0.11380953,376,296.777453
-0.3483657,371,297.609716
-1.4785186,359,298.90209
-11.53648,366,300.488487
-2.3434572,359,301.419026
-2.5508628,343,302.679337
-1.5771635,370,304.197731
-2.5402112,350,321.284499
-0.21081853,362,322.821846
-0.5249689,363,323.737053
-1.1810076,363,324.926333
-0.6626593,363,326.388664
-1.0396361,355,327.428941
-2.2621257,367,328.312223
-2.0154812,360,330.055031
-2.9336255,355,345.766584
-0.0957916,353,347.301063
-2.5530038,363,348.475365
-3.0205405,355,349.412591
-0.6567292,356,351.166927
-0.4072246,355,351.999854
-1.7440339,369,353.12508
-1.0996403,360,354.794064
-1.9108294,366,374.501599
-0.36411533,353,375.326799
-0.17067054,366,377.105201
-0.13766803,364,377.929387
-0.3445673,358,379.397997
-1.8130016,359,380.636276
-0.7306095,369,381.591492
-0.96692544,355,382.928824
-0.951093,360,399.206588
-0.12177758,375,400.643925
-0.6647728,354,401.463123
-0.6011564,355,402.35535
-3.4679897,341,402.35535
-0.6977128,353,404.10577
-1.0980659,359,405.319082
-0.3635177,348,405.319082
-1.0146233,353,420.964658
-0.729605,349,422.216985
-1.4879142,360,423.497287
-1.5877715,369,424.719588
-0.6964279,351,426.064991
-1.5765573,385,427.022273
-0.3652745,365,427.84746
-0.7591037,364,428.973883
-0.7761932,352,446.54989
-0.4114286,363,447.365842
-0.45836642,356,448.813334
-0.67535526,349,449.77159
-2.3909075,343,451.442981
-1.1441629,354,452.303239
-0.89536875,355,453.150016
-0.300812,361,453.986367
-1.8433136,346,468.954819
-0.67919147,359,470.278235
-1.1864704,346,471.354566
-0.41290933,352,472.190319
-0.35304037,348,474.036736
-1.6591574,356,475.023959
-0.46617255,359,475.825159
-0.59676033,358,476.698789
-2.9257255,368,491.872265
-1.72195,349,491.872265
-0.084516004,353,492.863526
