#{"t_start": 1686240274.231371, "env_id": null}
r,l,t
-14.94002,362,36.392064
-49.129745,363,37.299295
-13.483621,366,38.372551
-4.8166275,372,39.696875
-37.961475,373,40.566132
-37.48047,374,41.428327
-46.907013,377,42.418612
-17.159582,382,43.517874
-0.1816906,367,77.136609
-29.968771,359,78.198928
-6.9704814,376,79.14322
-54.091747,367,80.244482
-15.517511,359,80.244482
-3.8400872,373,81.373737
-23.774137,384,82.266963
-4.400612,382,83.422256
-1.8119535,355,140.315637
-19.247791,355,142.024051
-10.940472,356,143.348305
-8.566129,360,144.566997
-11.2559595,372,145.889756
-2.7267082,378,146.69594
-1.3058974,383,147.990176
-6.6858363,371,149.070565
-1.2986231,348,170.521963
-1.5322503,356,170.521963
-1.3152611,351,171.825763
-1.1175835,355,173.129025
-0.7896458,356,174.354125
-0.8001757,366,175.657837
-0.29020193,356,176.51203
-0.7826247,362,177.393734
-0.44035998,359,196.81475
-2.1707082,371,198.339095
-1.6235483,354,199.181284
-0.12790889,351,200.227521
-2.2190337,347,201.338418
-0.7257774,375,202.277154
-2.7269108,358,203.619873
-1.2375796,375,205.365269
-7.643329,352,250.13085
-2.6261497,357,252.040282
0.38031027,354,253.015661
-0.5703018,359,253.015661
-6.8252316,350,253.94287
-0.6541161,360,255.185268
-1.1161897,366,256.999182
-4.738522,356,258.250464
-1.7058967,360,275.728317
0.02729213,355,277.081623
-0.46182317,345,278.081849
-1.3161707,353,278.081849
-2.3435278,360,279.06207
-2.1347442,372,280.42889
-0.22994503,347,281.468126
-0.5313791,342,282.431346
-6.345973,354,300.293037
-0.5055729,342,301.515313
-0.3186916,349,302.428532
-5.8650327,355,303.557786
-0.7077569,368,304.788065
-0.13832001,356,305.909822
-0.25578022,351,306.849034
-1.9847171,370,308.305364
-2.0419886,353,351.137918
-1.1870686,357,352.685267
-1.6115446,365,353.723518
-0.526388,362,354.769757
-4.0789685,346,355.833072
-0.10997251,357,356.939873
-0.7260038,366,357.76306
-2.0071762,352,359.248394
-0.17471045,343,376.109031
-2.9904208,348,378.027464
-1.2314634,346,379.274282
-5.213223,360,380.530566
-0.6346919,361,382.068914
-1.0166228,355,382.94211
-9.874146,360,383.922082
-0.35143408,363,385.579698
-0.5135721,356,401.576385
-0.53026253,347,403.369792
-2.977633,367,404.782111
-1.2503089,352,405.657312
-3.1592424,356,407.441715
-1.0745667,360,408.327927
-3.6571937,358,409.274141
-1.2123241,354,410.660024
-0.8191155,351,452.484446
-0.62242717,357,454.57393
-0.5571421,353,455.640171
-0.2952311,353,456.498364
-1.2455446,358,458.328778
-1.5479252,359,459.245506
-1.3779823,356,460.07125
-2.1315117,362,461.857161
-0.5524406,362,477.628707
-2.2035253,347,479.377991
-0.13061215,358,480.348438
