#{"t_start": 1686874518.5266097, "env_id": null}
r,l,t
-51.56267,345,74.719834
-51.50095,351,77.101367
-60.098995,353,78.359129
-93.4531,360,81.020742
-54.670746,363,82.4924
-85.42846,367,83.959851
-65.45574,368,85.011419
-74.23385,372,86.723854
-30.785,350,148.269674
-15.106321,360,153.029845
-29.843527,345,153.029845
-17.66512,347,155.169356
-16.829016,369,156.199612
-18.661585,360,158.19407
-22.918474,368,159.718412
-20.136692,373,160.951752
-24.11022,356,218.428634
-16.315401,353,222.227579
-20.265654,366,225.776381
-17.730623,361,226.805664
-20.281956,349,228.111982
-11.246162,363,229.085218
-19.45788,360,230.526647
-20.7304,364,232.789167
-11.722549,348,278.729596
-7.66457,365,279.926884
-7.240315,339,281.750336
-4.2324257,347,283.300732
-16.367393,346,283.300732
-10.669111,349,285.869321
-20.168459,359,287.635747
-15.748908,364,290.914496
-21.973593,343,334.525305
-8.089049,355,336.910853
-12.091327,348,338.529216
-11.436024,352,339.84753
-7.3975067,357,340.867758
-8.632124,350,342.530144
-11.881225,346,343.56939
-1.7007715,355,347.500271
-5.115419,348,389.661788
-7.073668,364,391.290153
-8.421174,361,393.955817
-10.981986,358,394.927182
-4.6308675,357,396.642664
-12.655085,357,397.679897
-5.350618,368,398.868201
-8.30234,370,403.764384
-6.6702533,350,442.43108
-12.531247,337,445.405769
-2.6551752,362,446.902137
-12.419045,352,448.249452
-6.8752165,349,450.078897
-14.80039,370,452.030361
-3.9547367,363,453.049198
-4.2752657,359,457.101168
-6.1822333,349,492.353134
-7.3458138,347,495.472846
-8.944207,355,496.716151
-8.199279,342,497.98555
-8.85911,351,498.979217
-6.997646,363,502.795097
-6.001356,361,502.795097
-6.91612,367,507.815223
-3.2842844,354,537.02884
-1.026317,342,538.970893
-5.753499,352,540.627193
-6.4373045,357,541.733623
-2.8124118,371,545.248447
-2.8096306,346,546.457005
-3.0548034,350,547.693342
-2.5203679,351,552.446473
-5.751511,350,584.555673
-5.585565,348,586.375081
-3.7888932,358,589.343061
-5.182883,364,591.406573
-5.5130987,350,593.187096
-9.468009,357,595.467651
-4.7440724,354,596.416216
-8.36629,344,601.641412
-5.3347197,353,630.567904
-2.082849,366,632.058281
-15.774437,347,636.866398
-9.180259,367,637.855648
-3.4791372,361,638.825878
-10.554979,380,640.054206
-7.028236,381,643.44898
-5.5718093,370,646.454859
-5.197359,363,674.093201
-1.9266998,362,675.320477
-1.7134475,357,678.905306
-2.6419525,356,680.208629
-1.8053578,368,681.699134
-1.3116688,368,682.633497
-4.4003015,368,686.359381
-7.0995483,360,688.88197
-1.4900597,367,716.524206
-4.1982503,371,718.055362
-3.8262436,355,720.042808
-1.8714718,351,721.633239
-1.6442146,363,722.76691
-1.9290339,362,724.106295
-0.9643736,367,727.822223
-0.5684795,367,729.849678
-3.510567,354,756.090588
-12.735947,369,757.671025
-2.2185946,356,759.160358
-3.9067893,364,762.28914
-6.7334676,369,763.91353
-4.6172647,365,764.95577
-0.63960564,352,767.654402
-2.4917657,355,770.200075
-1.313505,350,795.765953
-3.2249134,364,798.713614
-2.6337488,378,801.700284
-1.4351506,361,803.566702
-2.5481677,378,805.003036
-3.214268,371,806.071313
-1.457038,363,810.980444
-7.6090145,385,812.205826
-1.2184054,372,839.440039
-1.2950318,365,841.440547
-3.454604,358,843.483095
-9.738786,364,846.509862
-0.94132936,373,847.42416
-2.1443918,372,848.669459
-3.5848682,367,852.274297
-12.371936,382,855.56611
-1.9127829,350,877.21604
-2.01589,353,879.512555
-1.5426013,369,882.675566
-0.6996317,356,885.029094
-1.5606965,371,886.668494
-1.9554842,372,887.647746
-1.926542,359,890.386373
-1.0564841,360,892.83796
-2.69616,355,914.133768
-3.0719388,342,915.873458
-4.8380346,375,922.422971
-1.74782,349,923.333175
-3.3755403,359,924.295391
-4.338183,356,925.824747
-7.6323223,374,930.464812
-4.3011255,365,932.258227
-3.7696624,388,956.480697
-2.1523364,405,960.244567
-2.8563542,388,965.295784
-1.6187571,387,966.243021
-0.90283376,391,967.341296
-0.6335579,382,967.342296
-1.6406484,378,971.339193
-1.5913261,390,973.883789
-1.4759874,367,994.26636
-1.2057596,381,998.275307
-2.6998272,359,1002.1832
-2.8824315,365,1003.232462
-2.0123336,373,1005.193902
-3.6279485,389,1007.190349
-4.1887937,361,1009.253812
-1.0783153,382,1013.540844
-1.3738765,360,1031.93797
-1.021706,368,1035.857849
-0.69032985,385,1040.877994
-0.8362287,400,1042.757446
-0.55524004,386,1042.757446
-0.4369283,390,1045.822133
-0.10205384,407,1046.920423
-2.885086,363,1048.846893
