#{"t_start": 1686664370.4757094, "env_id": null}
r,l,t
-73.02998,360,88.949285
-94.93076,361,90.001534
-30.326014,364,91.546733
-57.92861,370,94.386279
-83.12021,370,94.386279
-79.04166,374,96.333387
-55.83363,377,97.932361
-66.74561,378,99.016604
-33.339386,358,174.105293
-22.805288,366,176.844872
-26.230253,373,180.603479
-19.585854,361,181.777739
-28.029728,368,181.777739
-22.41987,365,182.858982
-16.190998,364,184.329673
-27.299454,380,186.466413
-29.39481,363,259.70985
-25.286146,354,263.162409
-15.297423,361,266.12876
-22.104517,363,267.308026
-22.925488,361,268.701761
-32.767113,381,270.396149
-19.408777,360,271.889372
-26.331305,374,272.967615
-18.981167,354,336.327182
-18.971777,356,342.417102
-13.672001,359,342.417102
-20.438856,367,342.417102
-21.153801,367,345.346452
-15.999164,366,347.244036
-18.976015,366,348.763379
-26.835634,375,351.023232
-27.753826,363,417.554081
-22.816591,351,421.083588
-15.448714,368,426.128806
-7.3037295,354,426.128806
-34.424843,361,427.459
-19.428974,377,429.842317
-25.622799,360,432.829762
-21.711746,391,438.173634
-14.181791,355,504.319976
-13.993842,365,510.256865
-13.802037,359,513.669039
-9.834939,360,515.107363
-13.679869,365,516.518809
-25.85608,364,518.975913
-12.267261,364,521.448627
-13.003108,364,525.82882
-13.031565,370,577.698237
-17.21595,368,582.421358
-7.2062316,360,583.796831
-2.9917462,359,584.893105
-14.000058,359,586.255489
-12.803875,364,589.397696
-8.965534,364,591.792621
-15.403913,354,594.567609
-7.1422186,349,635.732517
-3.3151293,352,640.474771
-3.907617,351,641.442485
-8.67982,351,642.841447
-9.791775,377,646.471279
-4.1182003,351,647.907733
-5.9492683,360,647.907733
-2.9962952,361,651.029528
-17.454351,351,695.937963
-4.9192286,357,702.603796
-14.303352,361,704.544242
-16.134346,361,705.913551
-7.536815,352,708.259125
-16.289175,360,711.053997
-5.9622345,361,712.043588
-12.063595,371,717.212824
-11.72625,346,755.060802
-3.3066392,357,764.179957
-16.211758,354,764.179957
-9.7124195,346,765.167225
-12.711668,368,766.815923
-8.469915,366,771.706523
-17.716146,371,773.435184
-11.348877,376,779.170971
-5.69334,357,815.775317
-7.504625,356,824.796443
-10.483078,364,827.197033
-12.669349,360,828.206274
-7.4520774,371,829.814637
-5.057099,354,832.777413
-12.215906,368,836.290872
-10.9122095,358,841.344491
-20.20987,352,881.586755
-8.588332,347,887.778578
-6.563347,346,890.451882
-3.0607712,355,891.738211
-6.277,363,893.577744
-9.480003,357,896.166427
-4.421561,349,898.357227
-4.4718823,356,903.07846
-6.4137836,361,932.183256
-3.8035688,351,936.701637
-4.74894,354,939.63145
-4.1834407,362,941.886534
-4.5258765,361,943.407162
-3.0016768,359,945.873523
-4.3061275,363,948.436272
-3.3735213,352,951.554312
-1.8923185,353,979.331634
-8.550681,371,986.617396
-3.431381,355,987.552977
-2.9084558,353,990.296622
-2.9706662,362,991.493373
-5.6385584,359,994.100041
-2.5897465,355,996.130538
-5.3760424,341,998.095981
-0.4261948,339,1023.560793
-1.7535532,347,1031.38766
-5.430316,354,1033.558795
-6.644482,351,1036.506675
-4.2354617,357,1037.695225
-8.408468,356,1040.878491
-3.3912542,352,1043.688564
-1.7005925,365,1044.850664
-6.611194,346,1074.990161
-6.7403316,344,1085.244354
-9.081813,361,1087.45856
-6.2956953,345,1089.409785
-3.3121564,347,1090.93536
-4.4598994,343,1093.702381
-2.8794792,342,1096.605978
-8.546843,342,1097.875264
-3.2717803,340,1127.583089
-13.295403,354,1139.64757
-2.5939403,355,1142.977534
-2.577098,366,1144.1538
-4.005052,357,1145.636587
-2.7784681,355,1148.164042
-2.8639624,357,1157.40045
-3.4058201,360,1157.40045
-0.87897384,343,1183.14476
-3.8154697,342,1195.100643
-2.6853154,365,1196.553733
-1.1353375,353,1198.365698
-0.7283341,356,1199.902
-3.9233243,347,1201.210601
-1.6387949,353,1204.892174
-2.1221926,363,1206.830431
-1.7706188,356,1229.277413
-0.3883333,349,1240.8698
-2.7866898,356,1241.965077
-4.090308,349,1243.682734
-0.37525988,361,1246.578137
-3.1684928,359,1247.667383
-1.3641795,350,1251.803903
-3.905437,365,1253.241226
-3.3738375,356,1276.246803
-3.329962,356,1287.368157
-3.6136534,354,1287.368157
-1.6137062,335,1289.179566
-5.117815,357,1290.154483
-3.1125531,368,1293.934349
-1.6677698,355,1296.908057
-1.2721295,364,1298.126338
-2.8478906,354,1321.390756
-4.4391108,355,1332.615869
-2.4590096,356,1333.593103
-1.4938474,359,1335.886622
-4.089975,359,1336.83984
-4.862263,347,1339.682486
-6.1376014,350,1343.807204
-3.8034213,357,1344.938459
-6.4916477,360,1370.489137
