#{"t_start": 1686852405.704679, "env_id": null}
r,l,t
-42.529697,356,74.849496
-55.731834,357,76.004825
-50.1012,358,77.048097
-44.369385,365,79.56573
-58.87747,370,81.513185
-69.087746,370,81.513185
-80.803085,370,81.513185
-82.248825,377,83.684684
-20.088778,364,162.119366
-18.488235,369,164.096243
-17.675285,364,165.93988
-10.161646,362,167.589933
-10.78467,376,168.9921
-13.033741,364,168.9921
-11.997376,365,170.06376
-15.347082,360,171.334332
-13.011273,352,230.884436
-11.501849,360,232.628958
-6.4493027,349,232.628958
-8.530447,353,233.73121
-10.481936,350,234.936649
-4.824323,353,236.388973
-6.19071,351,236.388973
-7.812926,368,239.029648
-9.923606,344,290.696507
-6.2399044,354,293.420404
-8.728032,354,294.415132
-4.26279,362,295.838185
-8.237332,357,296.935935
-6.022256,354,297.952167
-15.403675,361,300.145988
-9.0017805,357,302.652507
-9.256201,344,350.734636
-4.243391,341,352.762353
-2.164453,351,355.295174
-5.461453,351,356.908343
-7.432575,362,359.262669
-3.9082706,362,360.62186
-9.056436,356,361.681782
-4.8122272,358,363.966605
-6.8388658,351,406.498586
-3.1315272,361,407.733087
-5.817291,346,409.624749
-6.8640323,362,412.120411
-2.0959907,355,413.883076
-2.6739802,358,415.70657
-2.342059,362,416.997849
-6.3615885,361,419.377469
-3.80543,348,458.339905
-3.109672,347,459.474974
-4.4664626,355,462.666507
-5.53944,352,464.610813
-8.320294,346,466.530693
-7.0682034,354,468.795545
-5.668583,365,469.809371
-6.3905277,362,472.839383
-5.079409,340,506.207351
-2.2542305,363,510.272873
-3.4854567,361,512.939471
-3.4209566,354,514.948231
-3.4521873,369,516.613224
-3.598832,353,517.953657
-2.573523,346,519.980623
-4.541386,369,521.1533
-2.189895,361,555.164603
-2.2426836,353,559.741076
-0.4321704,376,561.701751
-2.275067,357,563.037448
-6.0657253,356,564.493734
-2.0630708,369,567.252422
-3.9272523,354,567.252422
-1.1436902,377,570.091077
-2.4709835,347,600.237013
-3.751168,369,608.102976
-3.913801,352,609.259501
-2.1467793,364,610.349201
-4.197647,362,611.559432
-1.4389696,367,615.739598
-6.0549817,369,616.868693
-2.2067838,366,619.2899
-2.1830978,363,646.418715
-2.9466295,360,652.953535
-2.2980556,361,654.204371
-5.844801,367,656.218095
-1.7050918,371,657.327343
-1.6539371,358,659.887918
-5.6448364,369,661.820084
-2.571507,363,663.844836
-0.49450395,374,693.737593
-0.9707945,365,698.820226
-2.3051877,362,700.805132
-1.9566468,373,701.789341
-0.36638844,365,703.041622
-1.0951537,362,705.282711
