#{"t_start": 1686708785.0226026, "env_id": null}
r,l,t
-63.339935,357,81.130094
-40.944103,360,82.692747
-39.875416,363,84.254193
-56.406265,364,85.301429
-78.16786,366,86.538767
-51.199986,369,88.095204
-74.20007,371,89.276484
-55.942932,379,91.691393
-10.433517,360,158.752599
-16.27245,359,160.946205
-19.303617,366,162.775618
-11.707414,365,164.738092
-9.987384,371,167.539742
-18.326977,378,168.794047
-26.183659,372,169.800274
-20.797361,375,172.462022
-14.362943,360,237.628874
-17.635237,367,238.941209
-9.582035,360,240.223524
-15.830984,352,242.587098
-10.289955,374,245.566961
-16.225866,372,247.511481
-12.7938175,370,248.554813
-7.409693,368,250.354244
-7.766651,348,296.664712
-7.786142,354,298.855258
-9.133591,363,300.550696
-11.6819725,363,303.785468
-24.882486,359,305.717942
-14.10344,360,308.126008
-7.842964,361,308.126008
-7.7262187,371,311.389769
-7.1729326,355,357.135101
-8.205021,359,359.950879
-13.9430065,357,361.293226
-6.668769,348,363.714398
-14.15094,358,365.10183
-9.343237,353,367.514456
-8.186607,364,369.975151
-9.912219,371,374.018354
-3.903474,361,419.599824
-7.212511,353,421.086178
-21.829716,351,422.111967
-6.573892,351,424.449495
-6.586984,359,427.087105
-7.7069016,357,429.213954
-5.5008035,351,430.609384
-9.860641,353,434.64661
-9.02963,346,475.56295
-8.8615265,354,478.130574
-11.51456,362,479.49091
-7.8440366,351,481.095297
-30.029594,343,484.173096
-10.376728,352,484.173096
-16.040115,364,489.156251
-8.05127,339,490.544582
-10.654681,342,537.345147
-18.75589,355,538.421411
-5.1746283,348,540.662947
-5.7014065,360,542.250372
-6.252791,355,545.140065
-7.7639637,364,547.480705
-9.592261,341,549.133108
-8.245526,368,553.043093
-13.027913,352,592.939114
-13.335501,358,594.624519
-8.565456,350,596.790033
-15.627401,365,599.307602
-10.961265,355,601.46214
-10.715912,342,602.764435
-10.009271,356,604.563841
-19.829563,365,610.920314
-31.343044,341,654.287117
-8.495441,355,656.597107
-12.819222,344,659.242717
-19.860693,342,661.799325
-21.329388,366,663.05062
-17.690168,365,666.533457
-11.683264,361,668.105884
-10.939523,343,671.308619
-4.4369183,352,707.264812
-4.2314568,351,709.282387
-3.5927405,360,713.376376
-5.6808023,357,715.485144
-11.36407,361,716.589503
-7.454327,347,719.086147
-3.3663714,359,720.776561
-13.283801,336,722.11796
-8.69429,355,766.851173
-18.95542,365,768.067012
-15.289606,350,771.054803
-2.2744992,353,773.651422
-16.387201,353,774.860781
-24.50313,342,776.878317
-8.675103,350,778.002584
-24.807701,354,780.554595
-14.854394,344,827.295457
-11.877747,362,828.612871
-5.084525,366,830.381325
-25.000116,355,833.27805
-16.228073,355,834.485439
-9.929177,353,836.11389
-4.29573,352,837.056177
-15.801537,344,838.689589
-7.142962,331,877.346718
-5.204919,349,879.836324
-8.5119295,366,882.615088
-9.627392,347,884.284569
-11.038017,349,886.115453
-15.980842,349,887.154726
-4.551566,358,888.116093
-7.6772003,354,889.901519
-10.498368,341,924.024312
-6.878789,346,927.047107
-7.938181,342,930.000841
-11.560314,353,931.494226
-6.0558486,343,932.83953
-7.142533,353,934.895078
-6.949437,355,936.259387
-6.19112,357,938.328909
-5.6780457,348,974.935293
-20.827295,353,979.464414
-7.2308555,359,983.560352
-6.0635114,361,985.435849
-5.6279597,350,986.560165
-7.5360594,372,989.16878
-4.2609215,364,990.616294
-18.458315,356,991.989615
-9.7669935,349,1028.963249
-5.1196046,351,1034.096408
-5.066538,347,1039.2989
-25.54634,363,1041.545493
-2.7376974,348,1043.192907
-7.8743615,362,1044.195276
-2.305127,354,1046.049707
-4.947525,351,1047.061314
-15.069111,358,1082.793724
-5.1953397,344,1084.983318
-2.0670726,355,1090.496588
-5.5183477,350,1091.885966
-13.966237,348,1093.332362
-7.965685,351,1094.635687
-13.523693,343,1095.728985
-5.2840185,348,1097.209332
-3.584071,335,1127.891387
-5.9350586,355,1132.310419
-2.6389112,351,1136.883489
-13.410938,347,1138.98809
-1.6837354,365,1140.619513
-3.254586,363,1141.851808
-9.595992,363,1143.076128
-9.149027,361,1144.55851
-9.188716,343,1172.591844
-4.208471,365,1180.27158
-2.7614248,338,1183.033652
-9.534047,351,1184.078924
-6.6470594,339,1186.397461
-4.2594643,367,1189.97135
-5.419614,366,1191.736876
-7.4076343,382,1192.899297
-14.431212,351,1221.944868
-6.124051,352,1229.932702
-5.93857,344,1232.119233
-11.996361,357,1234.469845
-4.746116,357,1236.925946
-3.8914227,347,1240.26679
-4.7745795,365,1242.125247
-15.181669,370,1244.981949
-7.5514507,338,1270.712759
-14.906401,350,1280.113893
-3.2793689,359,1283.843933
-4.4824624,342,1285.95344
-7.6770797,359,1287.068692
-13.778589,356,1293.229082
-2.7196667,368,1294.418363
-2.5836327,351,1296.248776
-4.53378,338,1317.932672
-5.8918858,336,1329.030176
-2.8545244,357,1330.104418
-4.5241704,347,1333.261184
-2.038494,357,1335.102599
-9.449451,362,1342.390258
-5.7510715,354,1343.648546
-7.314662,366,1344.774801
-2.663576,359,1366.260651
-6.15457,352,1375.303705
-6.0465474,357,1376.896065
-4.050853,349,1378.890528
-3.0853539,361,1381.799198
-4.82097,358,1387.39246
-4.764897,360,1388.849789
-3.1448534,369,1390.841239
-3.2192788,359,1410.567692
-4.1915464,347,1418.339447
-7.9942517,334,1419.807791
-4.897279,352,1421.253117
-3.419388,359,1425.969195
-5.202457,355,1431.585462
-6.67893,347,1433.548905
-6.010889,360,1434.519137
-6.268552,351,1454.5997
-11.306131,353,1462.642516
-2.3128731,357,1464.612961
-3.5139356,369,1467.822698
-8.4795065,351,1470.905407
-10.650348,352,1477.345861
-10.774261,350,1479.247291
-3.20242,367,1481.540808
-4.054551,356,1499.26781
-4.448755,347,1506.143376
-3.569441,348,1508.130824
-2.567393,355,1511.639668
-1.4515204,364,1515.579576
-8.248616,356,1521.782989
-1.805846,373,1523.576462
-4.4829717,362,1526.081027
-16.368757,343,1546.303593
-1.1231662,362,1554.66248
-2.6076753,355,1555.897758
-5.094066,345,1558.213307
-0.7867461,355,1562.882399
-9.788823,350,1568.941768
-3.694314,363,1570.249063
-2.7331865,352,1572.039467
-4.559996,354,1587.705003
-7.4126854,359,1598.017344
-4.1840363,347,1599.604703
-4.3369665,362,1599.605703
-5.139794,370,1606.646311
-9.667643,348,1610.27413
-3.4758325,362,1612.820704
-2.9293172,364,1614.865166
-4.6020846,354,1629.125423
-6.547166,350,1637.036209
-2.3046107,358,1639.309722
-3.3287506,365,1640.784055
-3.3220139,355,1646.427348
-3.046867,358,1649.985157
-2.3829737,370,1654.42416
-2.003852,370,1656.550639
-2.7140627,363,1670.451777
-2.8260653,341,1676.748211
-2.9396336,357,1681.330257
-3.404175,366,1682.4055
-1.3078407,353,1687.605674
-1.3952708,350,1690.951429
-2.2918396,363,1695.937564
-1.2946166,358,1697.596939
-5.2774596,364,1713.009418
-4.9771724,368,1719.708936
-6.183985,353,1723.057692
-2.6526198,356,1724.033918
-2.2311537,365,1730.008306
-4.643108,348,1731.818715
-2.892241,361,1737.781079
-2.1856246,361,1739.280423
-3.188044,369,1754.550877
-1.9272642,359,1760.6133
-1.4368798,362,1764.515181
-1.5696313,372,1766.277578
-1.4358262,363,1771.970876
-5.9091425,374,1775.347668
-2.775216,351,1779.421588
-3.3201625,379,1783.633557
-2.2708168,356,1796.532474
-5.3033686,376,1803.626075
-3.0463583,353,1805.028398
-2.0818906,349,1806.351715
-5.499824,365,1813.772394
-3.0335312,350,1815.161708
-3.416633,361,1820.434912
-0.9513934,350,1823.473622
-2.447079,354,1837.002676
-0.8451194,368,1845.5256
-4.5303626,364,1846.586839
-3.2954423,378,1849.365478
-2.4711032,364,1855.362832
-2.063953,362,1856.634119
-1.544578,362,1861.511621
-0.633407,353,1863.741125
-2.958091,359,1877.550256
-1.7813263,366,1887.92461
-2.7288187,374,1889.727017
-3.1395168,356,1890.912285
-1.2980492,355,1896.966651
-0.8946706,368,1898.697048
-2.962775,362,1903.497131
-2.9147828,355,1905.076493
-3.7958002,360,1918.595571
-1.7513064,354,1927.839676
-1.2888074,367,1929.419045
-0.48550487,373,1931.642575
-1.9411651,365,1936.871756
-0.4391773,362,1938.255068
-1.3571069,369,1943.576295
-0.6035516,363,1944.67058
-4.9179153,376,1959.963032
-1.8598342,370,1969.627213
-3.1030161,350,1970.711476
-0.7513053,367,1971.704713
-8.081293,360,1977.999134
-1.0909694,369,1980.103613
-2.8027864,357,1984.212541
-2.2808526,367,1986.25802
-1.1545212,380,2002.010576
-0.7292757,364,2009.233207
-3.3847418,366,2010.480488
-2.5947,375,2012.367914
-0.5434375,355,2016.402825
-5.870971,376,2020.218699
-2.914758,368,2023.555453
-0.72455764,367,2025.389866
-0.8524725,374,2040.95538
-4.9600563,364,2047.10378
-1.4868373,373,2048.348061
-1.6391677,374,2050.494546
-0.61337805,373,2054.270398
-2.0330658,373,2058.854433
-2.0840409,359,2061.09994
-1.8447415,365,2063.330456
-3.8971388,374,2079.901197
-3.1933146,347,2084.111147
-0.6034758,364,2085.958565
-1.6236793,374,2089.352331
-2.5139048,375,2093.059167
-1.4664781,359,2095.529725
-1.741286,373,2099.032529
-0.86143225,359,2100.230799
-1.5503194,363,2118.388899
-0.92576104,350,2121.782679
-3.7354069,370,2125.353523
-1.4055165,359,2127.802076
-0.99707246,370,2132.356104
-1.8786006,384,2136.090947
-0.8474159,364,2138.041441
-1.6370255,380,2139.842847
-3.4193037,381,2158.64009
-3.1289685,373,2161.171662
-2.3296714,354,2163.059089
-1.381109,372,2167.355074
-0.84713006,373,2172.000122
-2.0990458,351,2173.881547
-0.742251,366,2177.023256
-0.23797776,363,2178.565618
-2.921844,370,2198.82119
-2.259097,359,2200.403566
-3.0076444,372,2203.584284
-0.5629332,361,2206.784006
-2.1917806,361,2212.18925
-3.9466043,356,2213.723607
-4.822144,357,2217.176387
-1.2826121,369,2219.70097
-0.66547227,356,2236.567784
-3.495977,364,2238.916327
-1.4452034,357,2241.435896
-1.5609528,352,2244.32855
-1.7153254,375,2251.250124
-1.4115411,380,2253.224569
-2.2567089,378,2256.601345
-0.9536864,369,2258.472781
-0.92349744,350,2274.060299
-1.9684331,364,2277.551087
-1.4391165,362,2279.867622
-2.0725849,376,2283.657491
-1.1002512,359,2289.779873
-0.65767807,376,2291.059166
-0.9535457,367,2294.618969
-2.4732478,367,2296.740448
-0.8412105,384,2315.879064
-1.5011361,364,2317.702614
-1.8763283,383,2321.828584
-1.1985501,366,2324.218123
-2.1079557,364,2331.003028
-2.2191603,335,2333.036578
-1.2289736,383,2333.036578
-1.5830283,383,2336.800453
-1.0957446,365,2351.965877
-0.42809337,361,2353.336187
-2.3676713,354,2356.499913
-0.9164387,389,2361.38104
-0.6244901,364,2366.834387
-5.337622,380,2367.880716
-0.86144966,380,2369.942234
-1.2523178,368,2372.76594
-1.8083475,374,2391.167133
-1.8075798,393,2392.998655
-1.7374846,398,2397.141747
-2.3127427,381,2401.075777
-1.2096472,352,2404.310691
-0.6847698,374,2406.877367
-1.2541345,396,2410.574247
-0.87602574,395,2413.2283
-2.116615,370,2427.488593
-2.0985641,373,2429.611098
-2.3394246,377,2434.635258
-1.0085093,365,2437.595975
-2.2237911,372,2441.419838
-2.47851,387,2445.415872
-1.7435327,376,2448.234534
-1.6805803,362,2449.781921
-1.0786816,381,2464.832332
-1.8245318,367,2465.799672
-1.651396,370,2470.314718
-1.4336863,389,2474.51282
-0.81708574,372,2476.830355
-1.2434665,379,2481.133327
-0.5399936,374,2483.792957
-0.9351291,377,2485.572372
-2.49194,367,2500.015632
-1.002391,368,2501.002885
-1.6238393,382,2506.55318
-1.4190471,366,2509.481855
-0.5592994,373,2512.322496
-0.5930141,377,2517.051601
-1.4000947,359,2518.099905
-0.6721443,385,2521.904837
-1.3084666,374,2535.648969
-1.1023057,405,2539.071817
-0.65105677,383,2542.901769
-2.0981305,365,2544.558189
-2.0266755,378,2548.235032
-1.3502051,379,2553.4052
-1.5336748,382,2554.347411
-1.7341415,365,2556.994009
-2.5910523,371,2571.708331
-0.51248264,367,2574.920109
-8.774512,355,2579.308096
-0.46254227,377,2581.405622
-2.3259156,368,2585.1795
-0.14262892,379,2590.797781
-0.93328923,362,2592.089085
-0.046719987,401,2594.098636
-0.38653404,377,2607.985797
-0.4687927,380,2611.31667
-0.11905363,365,2613.854243
-0.779376,379,2616.635915
-0.93600434,371,2620.083705
-0.20092134,354,2625.27289
-0.7488258,362,2627.917517
-2.0652914,385,2628.946762
-0.8241602,363,2643.843125
-0.633422,373,2647.866032
-1.8984009,369,2650.20156
-1.1534843,378,2653.640355
-1.9510375,376,2656.706103
-1.0119659,362,2662.064326
-0.5854233,388,2663.138622
-0.23313437,392,2666.134329
-1.7630184,376,2679.557416
-1.1990204,391,2684.83975
-0.22148539,386,2686.755182
-1.501481,372,2689.267826
-1.752346,367,2691.929427
-0.56286263,357,2696.81653
-0.6306881,365,2698.051931
-2.4505796,357,2700.761568
-2.0755482,392,2716.809191
-2.7646916,362,2719.737877
-0.9313054,361,2721.627304
-0.972965,384,2725.972638
-1.4572576,375,2727.906088
-1.8821865,379,2733.445338
-0.5801962,377,2734.563609
-2.856996,368,2736.590066
-1.6584272,360,2751.242374
-1.6183126,354,2753.784271
-0.9304299,393,2758.386336
-1.1937387,344,2759.97072
-0.59692484,381,2762.380305
-0.7668587,363,2767.591481
-0.6027594,353,2769.104884
-1.6892895,385,2771.242397
-0.6708095,366,2786.052766
-0.5872773,364,2788.283282
-0.72040826,359,2792.580536
-0.74110633,363,2794.512972
-0.59931135,382,2798.379954
-1.983265,361,2801.869773
-0.14983064,388,2805.454687
-2.5676231,375,2806.634427
-1.3216673,369,2820.559682
-0.575075,388,2824.843649
-0.62360686,380,2828.537484
-0.46873277,371,2829.76084
-0.36734545,373,2833.657882
-0.9916986,387,2838.03891
-0.79048675,359,2839.658293
-0.12364752,374,2841.265711
-1.5219623,402,2857.648465
-0.5360194,364,2857.648465
-0.94598496,370,2862.049458
-1.5238843,377,2863.840893
-1.5976886,369,2867.473749
-3.7860062,374,2873.20615
-0.26322058,381,2875.466698
-1.3606311,381,2877.162099
-0.7107935,378,2893.821895
-0.52256393,388,2895.384338
-1.2400283,371,2898.381072
-0.6025415,374,2900.301524
-1.8119819,376,2903.855393
-1.7123181,377,2910.271893
-1.4254082,366,2910.271893
-1.2045453,398,2911.309127
-0.89530087,381,2928.001921
-0.5758941,381,2929.578277
-2.4583488,387,2932.870019
-1.1551795,388,2934.851547
-1.3408918,374,2937.453151
-0.9801017,366,2943.479537
-1.6529075,372,2944.588881
-1.0800768,373,2945.514114
-0.54984725,375,2962.993102
-3.5248632,386,2965.532714
-1.114654,380,2968.94651
-1.3667668,368,2970.093844
-1.0860627,398,2975.398135
-2.6014524,373,2980.135223
-0.45863906,377,2981.213489
-0.32338464,388,2982.620863
-0.83285046,365,2998.390707
-0.63489985,384,3002.19864
-0.382683,375,3004.696222
-1.6269578,397,3006.934783
-1.0124618,369,3010.044522
-1.1416979,358,3013.924416
-1.0899806,366,3015.883897
-0.22979769,390,3018.046385
-0.5151068,384,3033.910966
-0.3519624,381,3037.841653
-2.4186535,380,3040.355236
-2.030531,376,3042.270695
-1.4687482,358,3043.964142
-1.5207286,385,3050.04958
-1.9989297,370,3051.007796
-0.4413016,373,3053.010262
0.23859861,374,3069.116976
-1.0801256,394,3074.05914
0.28626165,375,3075.116378
-1.1391509,382,3077.572945
-1.0665884,377,3078.831255
-0.56466305,364,3083.715401
-1.017304,367,3084.724078
-1.2981467,382,3087.91787
-0.97566885,369,3102.993329
-0.3194331,365,3107.790411
-0.43030316,378,3109.789954
-1.5847056,381,3112.831672
-0.44246,384,3114.374033
-2.1832776,357,3117.353773
-0.6667978,359,3120.693545
-1.2759633,394,3121.786804
-0.9416084,380,3138.326538
-1.3532897,392,3144.471997
-0.48487207,385,3146.015378
-0.18159734,387,3148.754022
-1.1051294,353,3149.833279
-0.799755,397,3151.774717
0.17262161,378,3156.253753
-0.9649157,388,3157.608072
-1.4696343,399,3175.644193
-1.66095,373,3180.176259
-0.07333795,390,3181.592579
-0.5841647,379,3184.155157
-1.866871,393,3186.283664
-0.5680055,393,3188.252134
-0.9653584,368,3191.512883
-3.3588083,379,3192.734171
-1.231853,394,3212.646667
-0.67324746,385,3216.67859
-2.0494547,383,3217.924909
-1.3429042,385,3220.571519
-1.2151799,374,3221.910826
-1.3050019,372,3223.659265
-1.7181292,369,3226.454926
-1.048013,372,3227.835238
-0.63030946,384,3247.191607
-0.6497959,352,3248.880015
-3.277034,382,3251.45561
-0.29510123,366,3253.823183
-3.6986585,382,3256.285815
-0.14443545,381,3258.018236
-1.1266003,385,3260.99696
-0.20851962,381,3262.021236
-1.0385727,357,3281.122583
-1.1666241,390,3283.331106
0.11727591,381,3286.143818
-1.4648314,390,3288.89744
-0.9964653,375,3290.287805
-1.0029066,380,3292.452338
-0.36265895,364,3294.400797
-1.0581164,364,3295.488152
-0.07987465,367,3314.760503
-0.2779954,387,3318.410357
-0.46273255,372,3320.135846
-0.56521004,372,3322.883504
-1.3558394,389,3325.50212
-0.029664198,388,3327.477635
0.07773472,387,3329.515095
-0.5959023,402,3331.22248
-0.440126,384,3349.987556
-0.06903899,390,3353.981457
-1.0339978,385,3355.371962
-0.3915806,403,3359.13184
-2.2644856,382,3360.221124
-0.4213545,369,3361.35738
-0.1475364,370,3363.394954
-0.33256242,372,3365.172459
-1.4132023,405,3385.540112
-1.1101954,372,3387.280543
-0.5183566,382,3389.426058
-0.93055946,379,3393.522997
0.16457689,395,3395.670485
-0.2589317,392,3396.602739
-0.2515707,383,3398.0884
-0.9389614,376,3399.44277
-1.5838265,378,3420.546546
0.28469095,398,3421.906879
-0.05864229,387,3424.203397
-1.7507313,368,3426.595005
-0.9306572,396,3430.705425
-0.26062766,392,3432.486917
-0.8942229,400,3433.395175
-0.5356526,412,3434.434452
-1.6035876,381,3455.95734
-0.7204502,410,3458.454968
-1.1671411,368,3459.775266
-0.26185077,400,3461.415649
-2.3176684,385,3467.145994
-0.3053223,393,3468.846419
-4.398492,410,3469.905658
-0.03396398,399,3470.901988
-0.10770736,402,3492.455905
-0.503414,395,3494.368375
-0.397021,390,3495.322615
-0.60291386,397,3497.453109
-0.64777845,392,3502.42327
-0.52749515,404,3504.79515
-0.5077309,405,3505.962427
-0.31188074,421,3507.735893
-0.6913096,375,3525.889991
-0.5296281,369,3527.39333
-0.42563972,397,3530.330033
-0.12271113,388,3532.230482
0.10424327,375,3538.754014
-1.418767,409,3540.110334
-1.8123013,402,3542.064789
-1.2356598,396,3543.866234
-0.84061605,390,3561.421197
-0.8289213,411,3563.088574
-0.3841411,377,3564.188921
-0.75809836,385,3566.173369
-0.26568705,391,3573.412028
-0.1649303,401,3574.632304
0.20799308,375,3576.198697
-2.0077093,402,3578.052967
-0.053392377,399,3599.749865
-0.5361358,416,3600.933195
-0.13828161,388,3602.098458
-0.94373,412,3603.554545
-0.24395788,397,3610.72797
-2.4994562,386,3611.737236
-0.5565424,379,3613.142566
-0.22280172,416,3614.973004
-0.77957404,393,3635.648685
-0.16039367,394,3636.936065
-0.14129749,400,3639.300234
-3.0308003,420,3641.12167
-0.103258654,375,3645.612747
-0.41547075,402,3648.202787
-0.88779014,403,3649.79228
-0.2665253,392,3650.834528
-0.37512106,393,3671.650143
-1.0094312,393,3672.938488
-0.53683656,401,3675.53912
-0.34312946,407,3677.574658
-0.66632605,390,3682.457816
0.26038826,422,3683.746173
-0.2869856,421,3687.183975
-0.077553324,439,3689.05641
0.019888068,398,3705.613438
-0.25361907,401,3707.097812
-0.31582153,432,3711.656868
-0.17981128,415,3712.625143
-0.115049474,407,3718.022366
-0.44096443,424,3719.532707
0.10673755,414,3722.65242
-1.8664596,410,3724.277825
-0.3017097,394,3740.375535
-1.8793023,416,3742.122973
-0.33342353,388,3745.656809
-0.44622615,394,3746.796104
-1.2932281,394,3751.961351
0.16534849,398,3753.651733
-0.82104176,376,3756.009308
-1.0626477,394,3757.367662
-2.986895,422,3776.548017
-0.22695968,421,3778.220408
-0.069625795,402,3780.534073
-0.8418875,418,3782.777643
-1.4266001,397,3786.590509
-0.36181682,394,3789.742234
-0.58819526,422,3790.961509
-1.15363,416,3793.530163
-0.7151912,399,3811.133182
-0.6386043,394,3812.467548
-0.1430801,364,3814.141926
-0.22744979,424,3817.785779
-1.0670998,388,3820.435441
-4.8417273,389,3823.990332
-0.068238735,422,3826.797071
-0.3984319,416,3829.279647
-1.844963,378,3844.864234
-0.9587461,415,3848.083996
-0.48531562,407,3849.643378
-0.19099464,370,3850.684626
-0.78635716,418,3856.494007
-0.9113017,423,3860.402951
-0.32395136,411,3862.292394
-0.24792199,393,3863.474674
-0.4138112,388,3878.820189
-0.4575792,402,3882.615111
-1.953107,397,3883.820395
-0.41302422,406,3885.403758
-0.60326004,412,3891.608172
-0.2645426,389,3895.353017
-0.88486695,416,3896.962406
-0.15253124,430,3899.936077
-1.3017665,414,3913.611177
-0.6013593,387,3915.719653
-0.24086015,408,3918.380253
-0.62230134,418,3920.743804
-0.26739007,400,3925.902968
0.50519675,427,3931.103155
-0.62110156,419,3932.121434
-0.14794324,429,3935.936323
0.304069,421,3949.558429
-0.6389551,409,3950.760713
-0.06602479,400,3952.700157
-0.69825554,412,3955.72384
-0.77345496,394,3959.546703
-0.096608825,421,3966.482307
-0.12864807,381,3967.825635
0.16641748,433,3969.161954
-2.829681,407,3983.878349
-0.10109733,404,3984.875574
-1.2511731,431,3988.695449
-0.9304451,419,3991.03804
0.0011997835,391,3992.94347
-0.005320241,391,4000.729549
0.3671089,395,4002.315936
-0.11781593,422,4003.95242
-0.28201893,399,4017.772553
-1.1958995,418,4020.018097
-1.0803949,384,4021.589465
-0.11942839,423,4026.930727
-0.7519179,417,4028.543284
