#{"t_start": 1686146406.9850652, "env_id": null}
r,l,t
-20.88725,356,41.478226
-12.7004595,360,42.748605
-104.89491,360,42.748605
-18.202837,361,43.599732
-17.176863,370,45.206624
-57.106236,370,45.206624
-33.756737,376,46.498916
-33.79434,379,47.555552
-54.77847,346,80.283166
-35.46839,362,82.803775
-33.352825,370,84.489275
-25.114822,357,85.443809
-41.9899,381,86.614111
-5.1629534,369,87.554323
-8.319091,364,88.638675
-44.138718,381,90.08
-5.0110836,371,124.038854
-1.8982651,364,125.520254
0.12391896,364,127.172045
-5.497078,364,128.228284
-3.892013,371,129.036503
-2.8581424,364,129.860864
-3.71503,372,131.555358
-12.144274,376,133.19082
-3.783796,375,154.095976
-1.1082344,354,155.065208
-2.8736563,371,155.979414
-5.7258477,361,156.866615
-2.2282069,371,158.712031
-3.5662699,373,159.583228
-2.832726,378,161.355628
-0.2544477,369,162.299841
-1.7892447,347,182.939513
-9.26373,347,183.946907
-4.186156,365,185.943357
-2.250898,372,187.094077
-2.2540574,355,187.094077
-3.5514789,362,188.296361
-1.6445087,358,190.018131
-0.912611,362,190.846348
-0.18004736,360,213.84466
-5.317787,366,215.274368
0.103496686,352,216.51711
-7.0897408,348,217.418327
-4.646076,362,219.011821
-1.0533483,355,219.829057
-1.8166139,361,221.824512
-2.6338668,370,223.102845
-4.9323263,357,239.552586
-1.7039613,366,241.286122
-6.88577,359,242.187692
-1.9003735,363,243.05196
-1.5108681,359,244.410786
-0.7485971,359,245.218981
-0.7092136,367,247.53564
-0.46297565,359,248.424067
-5.83341,361,266.029093
-5.7806687,360,267.91362
-13.488401,356,267.91362
-0.8096705,362,268.89624
-7.2370443,362,270.46576
-0.8858961,365,271.299099
-4.217532,356,273.212913
-0.16785306,362,274.404904
-0.81700706,346,292.087967
-1.1900835,355,294.141469
-0.6342275,364,295.42388
-0.457871,365,296.462219
-1.9807725,370,298.266335
-1.488035,373,299.079587
-1.8478576,355,300.170241
-0.92518485,364,301.755542
-1.4650854,356,316.450994
-0.82518655,336,317.534554
-2.8042588,353,319.650198
-2.7821004,358,320.908573
-1.0302234,348,322.634054
-1.6108785,366,323.899354
-1.1014006,374,325.105799
-0.27839476,370,326.79667
-0.9349099,349,340.146839
-0.35454956,370,341.633344
-1.1742239,352,343.094172
-0.09426042,349,344.193456
-3.4103959,356,346.809047
-0.62809914,372,347.929625
-1.5537554,360,349.065101
-3.5921288,357,350.724555
-0.7231661,358,366.093637
-1.1614275,347,367.711079
-0.22529882,366,368.712398
0.15048057,365,370.358011
-1.2006938,361,372.628884
-0.39667326,356,373.778239
-0.99451905,367,374.715578
-0.7754404,368,376.539084
-0.26540878,360,389.731062
-0.3805225,364,391.600504
-0.7094109,362,392.50472
-0.5071243,344,393.375941
-1.3260123,344,395.617447
-2.1393006,359,397.584968
-0.2489371,366,398.502191
-0.5219486,351,399.926526
-0.2177792,347,413.200527
-0.21333553,374,414.058745
-2.4179294,349,414.91098
-1.1326841,357,415.812188
-1.3327494,353,418.120751
-0.49225876,360,420.528307
-1.0844274,366,421.436517
-1.5053093,357,422.54979
-0.93788105,345,437.28915
-0.45426288,352,438.513439
-0.74245435,350,438.513439
-0.8493443,361,439.923797
-0.30717236,358,442.117293
-0.8245884,352,444.816953
-0.19489554,364,445.63315
-0.4522916,370,446.858465
-0.6472669,349,458.611128
-0.42003778,370,459.844445
0.0046965675,359,461.155097
-0.79945886,374,461.964337
-0.04160911,358,464.065864
-1.6894528,343,466.050325
-0.2373414,363,467.927768
-0.5284019,364,469.212076
-0.83131826,341,480.349642
-0.05646846,350,482.059053
0.010833526,351,483.397394
-0.31914508,373,485.100828
-0.6081809,357,486.529164
0.08932384,349,490.73113
-0.57638127,344,492.211501
-0.039585512,358,493.998948
-0.6484184,356,504.891483
-0.47503924,356,506.587879
-0.12235961,346,507.538126
-0.4336894,347,509.232515
-0.027941955,350,510.722943
-1.1311543,358,512.642376
-0.113899685,351,513.779655
-0.29951003,361,515.97416
-0.591386,354,526.454525
