#{"t_start": 1686591843.3289201, "env_id": null}
r,l,t
-55.727512,360,84.394912
-76.006805,364,86.408331
-54.622627,367,87.954309
-86.11337,368,89.014193
-72.89136,370,90.44616
-67.20026,371,91.543528
-64.2005,372,92.631788
-76.93264,372,92.631788
-24.762583,350,167.290532
-20.173307,355,171.055051
-44.59446,368,172.131298
-41.940773,365,174.870428
-20.346006,366,174.870428
-38.365543,370,176.297602
-20.559422,366,176.298602
-29.257004,377,177.622176
-30.26193,360,258.458586
-28.49124,361,262.554157
-16.679478,362,263.924887
-32.83548,370,269.250038
-34.490852,371,270.359288
-37.823277,370,271.496183
-25.547085,368,272.56643
-37.02903,372,273.682119
-29.223368,359,348.266921
-28.265642,362,352.809964
-34.57942,367,355.322537
-39.730778,358,357.662079
-30.302446,364,360.472713
-34.759983,366,362.093079
-31.30131,367,363.628426
-31.779505,375,365.854899
-29.377945,373,441.751595
-37.154434,355,443.45885
-37.612484,374,447.410987
-27.740557,358,449.340425
-19.300259,353,450.377538
-43.714787,357,451.44778
-41.486588,373,453.411179
-29.340918,368,456.466158
-18.189838,366,532.334977
-14.961454,355,534.378052
-21.467108,373,536.798395
-15.132233,351,538.36875
-19.98089,366,541.553086
-22.35631,368,543.290874
-17.265478,379,546.451606
-25.668325,364,548.938112
-10.881432,349,602.384639
-12.933805,366,604.01804
-11.898281,372,606.740008
-11.393952,356,607.775255
-10.768554,369,608.890507
-14.414519,355,611.288079
-8.880361,375,613.961964
-17.688492,375,617.766163
-10.333207,348,672.661891
-12.480592,362,675.465107
-16.609121,364,680.563443
-21.647083,361,682.776205
-17.647429,373,682.776205
-16.116322,377,684.591196
-13.375919,367,687.282908
-15.612661,363,690.168069
-16.424658,368,746.529762
-12.865967,365,748.671248
-11.058252,356,751.371728
-12.647974,353,752.653022
-15.659922,365,755.629572
-15.140345,368,757.951148
-12.154761,377,762.162508
-9.7627125,364,762.162508
-20.360735,356,815.197599
-15.4157295,366,820.038414
-23.23022,358,821.969939
-12.87766,363,823.211201
-15.67217,354,826.584625
-12.002658,369,828.519061
-7.00909,366,832.939562
-16.727259,372,834.687956
-13.513558,363,887.934659
-21.693567,358,892.052591
-11.887126,371,894.52482
-21.00113,368,896.235206
-15.491965,363,898.67137
-15.030558,368,901.543165
-15.6192875,362,905.500676
-18.306889,364,907.601251
-13.507526,354,958.923623
-4.5584807,354,962.787962
-13.666247,352,964.657384
-7.977923,355,966.656835
-14.469395,345,969.721116
-20.94583,372,973.263919
-2.5092225,345,974.698983
-17.712885,354,978.113088
-3.8661141,346,1023.426345
-14.383019,354,1029.050517
-17.5013,364,1033.139463
-16.303976,365,1035.614043
-4.9591203,360,1037.550139
-10.741808,358,1040.517832
-20.400078,355,1041.797515
-4.5179787,355,1044.547463
-3.2419264,343,1086.816535
-20.346165,343,1092.646229
-10.905547,353,1098.393398
-22.233189,365,1103.138141
-8.133554,360,1104.173372
-21.561974,348,1105.565686
-6.6159062,345,1108.434447
-11.510453,367,1109.696241
-15.284874,366,1152.32843
-7.077384,356,1155.981377
-14.629353,347,1159.908365
-10.025171,344,1163.835971
-20.411375,343,1165.287194
