#{"t_start": 1686401475.205966, "env_id": null}
r,l,t
-84.25863,357,78.538848
-64.62851,359,79.94049
-89.328186,366,82.498144
-45.583496,366,82.498144
-90.849434,372,84.721038
-46.90997,373,85.799917
-87.04759,375,87.135218
-58.963276,377,88.369978
-28.911333,365,161.454336
-23.953274,356,161.454336
-20.290379,357,164.402833
-37.421833,358,166.417211
-26.768354,376,166.417211
-26.35902,373,168.171616
-27.208265,371,169.659955
-19.693026,371,171.088172
-8.872344,356,239.775017
-24.478504,368,243.817653
-27.468401,361,247.388802
-28.183195,366,248.437053
-22.657143,359,249.489537
-40.341366,370,251.089981
-45.495163,379,252.885231
-26.768152,366,254.29955
-20.92293,347,324.395942
-29.271118,370,328.303197
-35.70415,351,330.470562
-25.950523,354,333.668738
-27.706228,367,335.646593
-44.310043,370,338.061609
-33.118423,367,339.670503
-25.837751,380,340.817165
-26.213243,359,411.070517
-25.65525,368,417.412713
-17.03638,368,419.582204
-41.609848,373,424.205124
-33.749382,359,425.885911
-29.114185,367,427.440118
-33.529354,379,429.298619
-34.982246,373,430.90571
-24.638798,363,504.442112
-16.501057,359,510.769665
-18.81329,365,511.92193
-20.388632,350,513.977903
-22.746525,349,515.298201
-16.286224,349,516.75154
-18.951733,351,519.65211
-12.72033,359,521.060339
-10.872817,368,579.233523
-10.4672575,357,582.476357
-9.479453,361,583.945357
-5.1467175,357,586.262879
-15.376838,367,588.194384
-11.281242,369,589.751808
-19.613827,354,591.184145
-18.011993,378,595.440159
-5.688146,344,642.61632
-7.4218698,366,644.83323
-8.830109,357,646.006508
-9.004688,349,648.013999
-12.466298,358,649.498353
-5.157695,351,651.115732
-7.551613,359,652.704141
-16.29019,351,655.666511
-20.79532,362,708.360498
-12.551501,355,709.713251
-10.3050375,347,712.039232
-5.7197676,358,713.194847
-18.958933,368,714.160154
-16.398693,368,716.923339
-10.891561,362,718.217682
-4.96221,354,720.019913
-19.420599,349,773.564414
-3.103804,342,775.295957
-11.017361,353,778.777744
-11.944971,371,781.257308
-8.356917,353,784.108993
-18.967335,376,786.013935
-15.951834,371,788.496092
-10.099653,361,789.601389
-17.840496,351,841.034976
-26.537798,358,842.473301
-7.495599,358,846.060111
-6.811151,356,847.753493
-11.512382,341,848.833737
-9.238066,351,850.278063
-5.6832066,354,853.685858
-13.935262,366,855.824341
-6.460215,349,901.22359
-3.4844024,355,903.366073
-12.756083,349,906.665818
-4.658928,359,907.888094
-3.7749524,355,908.947333
-4.906367,353,910.222626
-2.5787864,344,912.029039
-2.530431,350,914.29155
-4.5077143,351,950.558737
-4.088771,350,952.406154
-9.911161,335,953.689445
-5.2240286,350,956.519108
-4.326169,350,957.906421
-1.5516142,362,959.653917
-3.6507204,358,961.469861
-4.379341,345,962.655447
-7.797564,358,998.627739
-6.925253,354,999.951064
-7.8234076,354,1001.154396
-8.134336,339,1004.12408
-8.557432,350,1005.208337
-3.661253,360,1006.695673
-8.899039,351,1009.0673
-3.7064476,351,1010.186553
-2.7747464,355,1052.009688
-9.855257,338,1053.799186
-8.200858,361,1055.070477
-6.729429,359,1056.119251
-12.347411,346,1058.357337
-3.3420215,363,1060.783119
-3.6355138,348,1062.60148
-12.860966,353,1063.770406
-15.048898,336,1105.839119
-4.9450793,348,1107.505843
-3.997166,339,1108.529086
-8.062682,356,1111.794829
-8.243509,349,1113.205147
-12.409402,344,1114.953573
-6.4633694,339,1116.32793
-5.3581953,358,1118.877349
-3.3051531,352,1152.213658
-9.196099,351,1153.780855
-10.231555,360,1155.60728
-3.2540977,353,1157.605731
-2.129782,343,1158.544943
-8.966533,355,1159.913252
-0.63191915,349,1161.203568
-3.9787235,351,1164.016213
-4.67539,358,1203.257121
-5.1205206,355,1204.371385
-4.6759787,341,1205.842729
-4.3882303,343,1206.97199
-1.1660105,362,1208.395363
-2.3763819,350,1210.357811
-1.9820061,358,1211.449165
-4.6324987,357,1214.377299
-3.9782085,348,1245.504351
-3.2951584,356,1247.437788
-0.9492717,352,1248.512117
-4.6819215,346,1249.711392
-4.2914085,347,1251.726901
-1.644833,367,1252.873211
-2.0820796,347,1252.873211
-4.424745,348,1255.801872
-2.7378426,349,1287.314999
-2.644904,362,1288.467642
-4.572936,359,1290.405135
-3.4712684,345,1291.737489
-2.2985685,370,1293.657936
-4.415631,356,1294.606219
-3.7517102,368,1296.465657
-6.3116817,350,1298.154157
-2.9186058,332,1329.90935
-4.7908564,350,1333.212109
-4.6975727,348,1335.249579
-1.9636983,360,1336.989003
-3.3143795,349,1338.196408
-7.311661,352,1339.583739
-1.9199414,347,1340.775099
-4.4259753,349,1342.68058
-4.0604935,361,1373.202577
-3.198379,363,1376.559335
-6.680954,346,1377.602588
-0.08946756,344,1378.525809
-3.6269593,350,1380.436347
-3.3088565,375,1382.224764
-5.807788,346,1383.228991
-3.4389536,361,1384.454324
-2.262459,371,1419.304236
-2.0878077,351,1425.794703
-4.2607465,360,1427.413143
-3.9430132,361,1428.69747
-3.6923757,348,1430.305897
-6.9164257,351,1431.601221
-1.9118623,363,1432.543433
-3.1580966,350,1433.54768
-1.1361828,339,1463.620481
-2.360312,353,1465.438917
-1.2364384,347,1466.884322
-3.9352987,352,1468.663724
-4.523241,352,1470.608227
-2.3740652,352,1471.585483
-5.2094445,357,1471.585483
-2.3785753,359,1473.189862
-2.0010853,355,1504.985065
-3.4211311,368,1506.250441
-2.1220677,353,1506.250441
-2.968652,347,1507.449764
-2.191749,349,1509.555357
-0.7120637,350,1510.591608
-3.3834195,361,1512.424022
-3.5568097,358,1513.82646
-1.0095239,343,1543.133076
-2.2392104,348,1544.442371
-3.8013716,362,1546.430821
-0.5780972,363,1547.9252
-2.271524,352,1549.121488
-0.7795193,357,1550.173726
-3.3304846,348,1551.378062
-3.0528715,351,1553.061455
-2.2888684,335,1579.839551
-0.94011706,346,1582.046088
-2.2372444,353,1584.454692
-1.7481091,350,1586.090061
-2.403855,356,1587.127411
-2.2665112,360,1588.962825
-3.1269045,357,1589.966116
-1.2286233,363,1591.977658
-4.312303,360,1620.399126
-0.99833596,354,1622.20962
-0.7887347,361,1625.331338
-8.865617,352,1626.456634
-2.3502975,357,1627.610899
-1.8899661,350,1628.921246
-1.890856,353,1630.066526
-1.5314939,346,1631.628935
-1.9268372,351,1665.437594
-2.710654,363,1668.409393
-0.5515287,343,1670.024789
-1.3162514,345,1671.543157
-0.96073747,356,1672.571492
-3.1657808,360,1673.57972
-2.0819042,350,1674.821064
-1.8339427,351,1676.40746
-1.6694432,364,1704.353781
-0.98896223,354,1706.315224
-1.5947642,349,1707.544502
-1.7449086,350,1709.548954
-2.1284182,354,1710.586527
-3.1968346,340,1711.65643
-1.153517,359,1712.604644
-0.6489217,359,1714.192002
-1.8049606,366,1745.475064
-2.0598633,357,1746.665333
-2.2114487,364,1748.612773
-2.766953,351,1749.658008
-0.31685367,349,1750.621226
-2.4304237,358,1751.845502
-1.0140773,362,1753.366846
-1.0684783,355,1754.461093
-1.3486418,347,1785.804168
-1.3408635,358,1788.031671
-1.5686008,347,1789.120917
-2.9298153,349,1790.276178
-1.1397538,345,1790.276178
-0.6925852,355,1791.410434
-0.8945988,352,1793.247849
-1.814055,357,1794.737185
-1.6358613,350,1824.560948
-0.91623443,349,1827.233582
-4.4184875,348,1828.280848
-2.1461601,352,1829.236092
-1.1585294,361,1830.48741
-0.9369164,341,1830.48741
-0.81314945,373,1832.432866
-2.4239318,357,1834.12031
-3.8281236,343,1861.998643
-1.7509434,346,1865.372425
-0.6609268,351,1865.372425
-0.4328244,351,1866.654715
-2.9796538,355,1866.654715
-0.19509867,360,1867.648939
-0.5012238,355,1869.706559
-2.236958,359,1871.714063
-0.8995753,348,1904.594738
-0.55128366,352,1908.05952
-0.25460398,354,1909.110771
-0.9184774,353,1910.370068
-2.0778887,337,1911.445349
-1.4697279,361,1912.89969
-1.1539041,364,1913.806909
-1.3187927,359,1916.824676
-1.4509888,352,1940.129949
-1.9411696,348,1943.130662
-1.7034726,346,1944.283947
-2.9844801,345,1945.190152
-1.1575626,356,1946.41952
-0.5425764,362,1948.664054
-1.2181574,363,1949.690285
-1.3623261,337,1950.635515
-1.3293111,351,1975.562142
-0.96459365,353,1978.915899
-1.3095511,358,1980.535264
-0.62459207,361,1981.712543
-0.9961689,357,1982.669774
-1.4529288,354,1984.871272
-1.2268541,359,1986.262619
-1.0080634,359,1987.203912
-1.9382464,359,2013.00809
-1.3648012,351,2015.592674
-0.4694537,351,2017.12203
-1.701953,351,2018.518682
-1.3704151,352,2018.518682
-0.87535614,362,2021.850315
-0.57735324,356,2022.797402
-0.70156896,366,2024.559261
-0.49258196,355,2049.366454
-2.9828103,351,2051.829012
-2.009918,344,2053.321349
-2.167515,353,2054.534651
-1.6648004,369,2057.223099
-0.8000073,359,2059.666652
-1.5737303,354,2061.012957
-0.48032343,366,2061.012957
-0.9961487,351,2088.204561
-0.95159775,351,2091.096277
-1.4114555,360,2093.77077
-0.43372366,357,2094.766588
-0.71870923,352,2097.240917
-2.2987688,344,2099.088364
-2.9550781,353,2101.366404
-3.7549148,364,2103.3325
-0.81806004,348,2134.484718
-2.2550986,371,2139.571247
-2.220838,361,2141.024453
-0.96344936,345,2141.990988
-1.2911805,365,2143.193776
-1.6964729,348,2144.93635
-1.3894863,344,2146.7516
-0.63471574,357,2149.6103
-0.4653261,353,2172.910094
-0.24488524,348,2176.905635
-1.2262487,343,2177.872426
-0.6108483,354,2179.796051
-3.0231128,351,2180.768538
-0.20308074,353,2182.655436
-0.47258937,356,2184.673009
-0.56360745,350,2186.995455
-0.76533234,358,2210.756879
-0.93868446,340,2213.204601
-0.07492568,344,2214.456948
-0.38296017,345,2216.453962
-1.1370041,356,2218.332121
-0.3708344,353,2219.882483
-0.2048276,346,2221.352347
-1.8382554,351,2224.166313
-1.8731405,343,2247.817025
-0.2794017,351,2250.974726
0.016222388,353,2252.530246
-2.3435495,349,2254.232511
-0.8995557,357,2256.817066
-0.21713746,354,2258.14494
-1.7678037,355,2259.7151
-1.5154916,345,2261.712614
-0.48502684,338,2285.645453
-2.0308766,348,2289.987373
-0.94180816,349,2291.582258
-0.41936952,368,2295.037445
-2.1601672,357,2296.781277
-0.94798553,358,2298.244881
-0.90368974,364,2300.244713
-0.43301046,368,2302.45986
-1.3438481,346,2322.476821
-0.73810196,353,2326.902513
-0.9198617,347,2327.9423
-1.1414115,346,2331.063117
-0.61755216,344,2332.972569
-1.0724137,357,2334.32115
-1.1697775,354,2336.56972
-0.95258886,347,2338.287818
-0.072362974,359,2366.56062
-1.0841533,348,2370.157687
-0.3574256,357,2371.607199
-1.1108468,339,2373.380344
-0.7278732,350,2376.332354
-2.4562893,352,2377.893477
-0.46124706,348,2379.878156
-1.1621348,347,2381.39951
-0.3180431,354,2402.453803
-0.8307376,356,2407.167853
-1.552157,366,2408.304747
