#{"t_start": 1686181276.166181, "env_id": null}
r,l,t
-40.578323,347,43.033429
-26.204756,359,45.059912
-25.60531,363,46.138155
-41.8425,364,47.04536
-46.583923,366,47.997614
-46.07787,377,49.868036
-29.951576,383,51.167329
-38.54921,390,52.611686
-32.434868,346,84.08079
-0.5037707,353,87.116488
-19.370968,364,88.488798
-13.732359,359,88.489799
-4.4295206,374,90.834328
-19.058758,365,92.368687
-22.144915,375,93.528949
-16.93792,372,95.073297
-7.293328,362,123.725785
-3.7929604,363,127.555663
-12.402142,373,128.675952
-0.016280904,369,129.664175
-7.0865755,361,131.098516
-3.551226,360,132.378867
-0.32450214,372,134.086269
-4.551096,364,135.017479
-0.83952785,352,152.403404
-5.008906,355,155.669147
-3.230502,364,156.77341
-0.57068825,360,158.180765
0.04307723,372,159.106988
-0.036127415,365,160.379275
-7.536492,369,162.576797
-5.8925853,371,162.576797
-1.0915838,371,181.483065
-4.074655,353,183.897611
-3.4025278,364,185.010866
-0.0060312822,363,186.587227
-0.24919438,371,187.862515
-0.82648236,366,188.822745
-1.7979512,368,190.775187
-0.04553148,378,192.086509
-1.3146565,359,212.01001
-0.2991143,354,213.791411
-1.8486416,366,215.514803
-2.4469502,369,217.292204
-1.4616369,368,218.784541
-0.6213809,375,219.720765
-0.43913916,358,221.079072
-1.5903021,351,222.072296
-2.6016002,366,238.184439
-0.07145486,357,239.538744
-1.0474036,351,241.064089
-1.6443357,352,243.744694
-1.1079395,355,244.870961
-3.9824774,378,245.957206
-3.0599337,362,247.428538
-4.276729,365,248.486777
-4.924042,351,265.407597
-1.5765744,353,267.089977
-2.908779,359,268.989406
-6.5661736,355,271.588993
-1.3837944,344,272.403176
-6.983686,352,273.299379
-1.9770856,347,274.800718
-0.64933884,367,276.990212
-0.34592256,354,294.562179
-4.9613566,349,295.829465
-0.48706648,351,297.66988
-7.4208875,347,300.052418
-0.95489746,359,301.393751
-2.851255,368,302.731053
-0.72307485,365,304.00534
-3.7635012,348,305.228616
-3.2835479,359,319.615184
-0.24017802,364,321.081516
-0.95244354,358,322.492848
-0.65005434,346,324.025791
-3.2202263,363,326.363319
-1.9092176,363,327.819649
-0.28680006,360,328.968932
-0.8898828,356,330.02617
-0.59448224,351,344.297393
-1.9392099,353,346.604924
-4.0855083,367,347.419108
-0.48842716,364,349.401582
-0.55460346,345,351.205001
-2.0105865,366,352.4693
-0.9072258,360,353.808602
-2.1660943,361,354.90285
-0.9364432,360,370.979563
-0.24774398,354,372.840004
-0.4505682,359,373.776233
-0.69232756,363,376.067769
-0.3411526,366,377.980206
-0.40830684,359,379.475543
-0.7545546,381,380.665812
-1.2766623,368,381.708052
-0.18918164,363,394.575969
-0.7940687,359,396.21534
-0.2999708,358,397.10354
-0.48240185,363,399.502082
-0.1755689,342,400.429291
-1.5464156,358,402.574775
-1.9904462,356,403.674036
-0.9645198,359,404.881309
-0.78384584,345,417.53817
-0.81432194,346,419.347592
-0.5922603,357,420.456855
-1.3257476,357,423.158464
-0.3223748,367,424.219704
-0.07116342,352,426.144145
-0.4534252,361,427.018342
-0.9521851,347,427.872544
-0.6189319,359,442.700905
-0.6051412,337,443.895175
-0.24755616,354,445.102447
-0.5711566,344,448.004102
-0.03723287,353,448.869298
-0.6340843,352,451.280867
-0.29654488,357,452.096053
-2.2800975,360,453.143289
-0.7173285,355,465.163018
-0.41343883,358,466.437318
-0.34511968,357,467.540567
-0.32701933,350,470.056135
-0.2320395,353,471.023354
-0.6619611,357,473.597935
-0.20108664,361,474.830212
-0.29826626,367,475.649398
-0.7109834,357,487.287047
-1.1882997,355,488.516337
-0.116378434,361,489.840636
-0.7064208,352,491.936121
-0.42830586,368,493.619501
0.030665599,352,498.508605
-0.70591086,358,499.567887
-0.626319,370,500.384071
-0.8521123,338,511.613607
-0.39081845,352,512.551845
-1.6053392,359,514.771345
-1.1077237,346,516.304704
-0.42153913,353,518.228139
-0.40246692,351,520.369634
-0.902776,348,521.305859
-0.5543813,358,522.560465
0.25267324,357,533.523621
-0.5489004,358,534.528849
-0.21905169,351,536.459284
-0.39940354,350,537.95266
-0.38926476,354,540.145155
-0.4298638,338,541.789526
-0.527835,348,542.867782
-0.3765025,354,544.634181
-0.44728583,354,555.334602
-0.25437334,361,556.635902
-0.23417978,348,558.615348
-0.7612465,367,559.549562
-0.37815082,345,564.061581
-0.14414228,355,566.190085
-0.75578755,353,567.135299
-0.18482666,351,568.690663
-0.6168345,360,580.055593
-0.5968369,349,580.867776
-0.5114,356,583.370347
-0.49455765,359,584.437588
-1.0329839,360,586.456056
-0.1352142,354,588.247461
-0.2924253,353,589.147683
-0.7464586,346,590.461992
-0.52595353,348,601.717533
-0.22811414,355,602.733762
-0.8068004,348,604.721211
-0.16662833,347,605.707433
-0.16663545,353,607.917932
-0.7218431,340,609.364259
-0.5000239,354,610.65455
-0.6459426,342,611.535749
-1.3636445,347,623.094358
-0.3396496,349,624.216612
-0.42110395,344,628.513582
-0.31628925,360,630.180958
-0.22064367,349,631.869344
-0.4805789,347,633.19565
-0.47359776,344,634.507978
-0.3896475,351,635.44419
-0.5365111,353,646.942798
-0.16119926,355,648.117084
-0.60884356,362,650.106533
-1.0408608,350,651.282798
0.01984613,340,653.063213
0.14671373,361,654.19847
-0.25392944,344,655.228703
-0.4682632,341,656.064896
-0.0910485,348,667.850556
-0.6113663,339,668.669754
-0.29483113,332,670.798234
-0.17284766,353,672.092527
-0.48438627,346,674.005977
-0.624796,351,675.372285
-0.20150857,353,676.493549
-1.1059686,354,677.352774
-1.0445892,348,691.465019
-0.04119071,357,692.555265
-0.23613039,344,694.162653
-0.37943026,353,695.848046
-0.70321393,343,697.889507
-0.20728596,365,698.980822
-0.13288029,342,699.798007
-0.07051929,345,700.612203
-0.15075642,343,712.148835
-0.13874745,354,713.028058
-1.0441864,342,714.475385
-0.23122102,347,716.436845
-0.20853977,334,718.378284
0.056922805,348,719.326498
-0.46358863,341,720.222713
-0.70841086,347,721.205947
-0.16198145,342,732.767558
-0.376979,342,733.655771
-0.5149706,331,734.656028
-0.1954453,344,737.103591
-0.594091,342,739.118449
0.0064279614,347,739.935648
0.06941423,349,741.227953
-0.40696993,358,742.137158
-0.36214596,347,756.262347
-0.26237527,341,757.141546
-0.32312602,346,757.141546
-0.081042446,351,759.883164
-0.3687669,328,760.933402
-0.6016813,342,762.318716
-0.49501193,350,763.985123
-0.5970955,349,764.895328
-0.21266276,333,775.770797
-0.44751075,336,776.679014
-0.14130148,345,777.763259
-0.40925634,335,780.260836
0.028205916,340,782.065243
0.30249366,358,782.980373
-0.19059184,342,784.68077
0.34917238,345,784.68077
-0.17829776,334,795.418221
-0.020260083,343,796.449466
0.17441276,350,797.907832
-0.16794589,350,800.370388
-0.079916544,349,802.160832
-0.1428909,352,803.172072
-0.24290155,341,804.412352
-0.4804687,345,805.343575
0.04186847,336,817.933417
-0.26573107,340,819.105682
-0.2917442,345,820.757064
-0.7176861,329,822.546468
-0.23605059,340,824.754992
-0.28281203,338,826.221323
0.20708534,354,827.136529
-0.07321385,354,828.590905
-0.45075458,330,837.740988
-0.19342522,344,839.511388
0.12491516,341,841.106748
-0.1681775,336,842.656137
-0.23225611,343,845.215715
-0.029409697,337,846.584037
-0.39310312,344,847.48424
0.023881122,333,848.610494
-0.31088695,353,858.468719
-0.5416174,338,859.617979
-0.3800976,335,861.088311
-0.47705692,354,863.402841
-0.32891208,331,864.989199
-0.055031426,340,866.652575
-0.18261752,344,867.684808
-0.35864085,339,868.65004
0.013635068,343,881.432736
-0.052941326,355,883.085127
-0.16122706,352,884.359415
0.064808674,336,886.079815
0.037319202,323,887.146107
-0.66373074,343,889.688682
-0.029004034,340,890.629907
-0.06706987,345,891.741157
0.40535742,336,901.36633
-0.096828945,321,902.38156
-0.10881971,348,904.839114
-0.47480866,335,906.020381
-0.2940146,336,907.100625
-0.34375894,328,909.370137
-0.5470736,326,910.568408
-0.26002923,340,911.525624
-0.22598523,329,921.147822
-0.08259278,335,922.428116
-1.1175863,338,924.994699
-0.05048918,348,926.559066
-0.41483146,341,927.37225
-0.2523856,325,929.550742
-0.19161151,348,930.588976
-0.19024281,346,931.694226
-0.53904504,343,941.306396
0.26405174,342,945.09025
0.015459185,340,947.586174
0.08823373,340,949.240547
-0.33144644,343,950.087739
-0.27338296,332,951.919677
-0.1909159,329,952.874891
-0.021413535,341,954.535266
-0.055454463,331,964.432017
-0.2689296,344,965.278221
0.022545125,340,968.055848
-0.45488676,338,969.61922
