#{"t_start": 1686260217.3031745, "env_id": null}
r,l,t
-25.11852,353,39.876676
-42.705418,357,41.124958
-44.613743,364,42.806438
-45.30949,365,43.673808
-27.513287,367,44.651883
-44.494915,368,45.602162
-83.104614,368,45.602162
-24.538942,380,47.363572
-31.90729,355,77.468664
-56.385025,367,79.165181
-15.537841,355,80.228832
-1.5402187,362,81.549218
-8.547781,350,82.44512
-16.557781,362,82.44512
-17.085531,367,83.305026
-4.534596,369,84.233122
-18.192162,354,113.789503
-19.798717,368,115.237572
-4.529305,361,117.097912
-35.62896,359,118.152152
-1.4525532,365,119.031271
-4.2137494,371,119.031271
-7.6297626,366,120.107057
-18.024633,368,121.000259
-25.073935,356,158.855821
-35.037136,379,159.959682
-15.847772,360,160.82624
-44.578575,364,161.777455
-10.83373,363,163.112977
-23.432411,381,164.03819
-9.209052,366,165.150278
-15.80122,376,166.38947
-6.8469377,355,201.899973
-15.858873,370,202.790688
-23.922203,368,203.722898
-17.984877,364,204.876159
-7.2730403,357,205.862382
-24.411732,372,206.810748
-25.034836,366,206.810748
-15.822426,376,207.883621
-1.2698374,360,246.238631
-0.7898024,353,246.238631
-0.86983925,361,247.627189
-0.9515458,364,248.569623
-5.3598166,371,248.569632
-14.166274,377,249.998338
-1.3294842,375,251.295487
-0.5492493,385,252.278958
-1.085513,350,275.047282
-0.26335943,364,276.151543
-0.9041039,365,277.009259
-0.525241,359,278.068432
-1.3434036,358,279.289221
-6.3215375,371,280.288446
-1.2066374,362,281.570585
-0.41444752,378,283.435265
-14.339499,359,306.289139
-1.0217739,366,307.77689
-3.4404325,366,308.618079
-0.47002503,355,308.618079
-1.0213336,368,309.730416
-1.1116858,362,310.78119
-0.9080783,369,312.356445
-0.4424407,355,313.450181
-0.41106424,345,335.216632
-0.90224904,363,336.43089
-2.6409502,356,337.538141
-0.63024104,366,339.065744
-8.495405,358,339.973347
-0.454932,363,340.83721
-7.218801,351,342.02332
-0.89857775,365,343.909606
-0.5026621,353,364.640531
-0.3557726,351,366.906395
-0.56131774,365,367.743181
-0.60969836,359,369.166502
-5.0368733,383,370.407783
-2.7101338,379,371.896631
-5.6654162,372,372.878662
-2.0312119,360,374.135362
-0.74980426,369,396.131654
-1.1773595,354,397.314427
-5.0654206,352,398.61927
-2.2858877,362,399.57422
-6.342888,354,400.772354
-1.1436543,356,402.425388
-1.4736397,370,404.162328
-4.503232,371,405.54024
-4.893981,364,430.753505
-3.8436127,355,431.765208
0.042117216,364,432.63755
-0.4957576,356,433.49772
-0.9369326,379,435.856934
-2.2178257,367,436.729295
-1.9501175,357,437.914815
-1.4951723,361,439.353337
-0.76284206,342,458.129094
-2.9608757,353,459.18324
-0.3319646,358,460.494537
-1.2873397,368,462.012036
-2.3416357,353,463.574205
-0.10737056,364,465.057992
-4.3609333,366,466.50016
-4.049591,356,467.5047
-1.4207613,355,487.076313
-1.4329945,365,488.887179
-2.2175317,365,490.353209
-0.65329796,354,491.243412
-2.4869087,358,493.183713
-1.4616898,362,495.040145
-6.259778,355,496.132398
-3.5282404,359,496.984451
-0.34045258,361,516.281416
-3.4829183,357,518.360635
-3.201711,370,519.396029
-1.4000407,363,520.422273
-0.49494678,362,522.143989
-0.055902243,351,523.659345
-1.8782672,352,523.659345
-0.80658907,366,525.039453
-5.3509626,366,543.976139
-2.2180636,356,545.229102
-1.0295581,354,546.099547
-0.1283932,352,546.948753
-3.0339444,358,548.93875
-0.12752083,356,550.199948
-0.8334232,364,551.370318
-1.0157843,367,552.740629
-4.058371,348,569.170559
-0.7813441,358,570.996975
-3.3498313,361,577.963269
-1.9779032,370,579.192547
-0.92831314,361,580.901964
-0.4912538,359,582.082713
-0.2969812,360,583.296244
-0.19937731,362,584.788156
-1.2521038,362,601.381678
-0.50556386,364,603.472906
-2.1217625,362,604.53267
-0.49265188,360,605.55307
-0.7741417,352,606.753208
-1.1982645,362,608.471426
-1.139173,364,609.920202
-0.7091172,358,611.110477
-0.5176169,369,627.994598
-1.9493886,351,628.950851
0.08507859,354,630.141624
-1.0159458,359,631.473322
-1.060897,351,631.473322
-0.28065088,363,633.828367
-1.1150448,354,634.746575
-0.18387271,363,636.390948
-0.93394107,361,653.390527
-1.3989329,359,654.791518
-1.516115,368,655.638864
-0.95668226,355,656.688248
-0.1512764,364,657.972463
-1.4195601,363,660.308283
-0.5732919,366,661.318951
-0.21576288,351,662.179198
-0.61339945,363,680.011372
-1.0006876,354,680.86059
-0.25299323,353,680.86059
-0.48003125,346,682.072345
-1.5578314,360,683.132822
-1.466298,354,685.608618
-0.98625433,351,686.567344
-0.38014174,360,687.682315
-0.7707269,357,705.713179
-0.6955464,362,706.720412
-1.2040873,361,707.87245
-0.7155501,368,707.87245
-0.87520593,361,708.926368
-0.60768366,355,710.917547
-1.0334296,354,711.847671
-1.0000453,361,713.315789
-0.51404697,350,733.915147
-1.0992924,354,735.089412
-0.9250949,354,736.225669
-2.8506296,355,737.347922
-1.6909246,373,738.773513
-0.9221122,356,740.276843
-0.28018042,360,741.419395
-0.43901053,361,742.961744
-0.20895438,353,757.506986
-0.32352412,364,759.169204
-0.5199492,342,760.121117
-0.6725041,362,760.951305
-1.2889825,362,761.974562
-1.3242595,335,763.005634
-0.39663938,367,764.916426
-0.4078839,357,766.339846
-0.2896388,354,782.429275
-0.293622,357,784.324735
-0.24592343,362,785.517516
-0.15068457,360,786.536251
-0.37639865,370,787.560485
-1.2411379,373,789.117452
-0.6481639,361,790.621825
-0.34346393,361,791.978131
-0.59972465,354,807.083049
-0.063131675,351,808.859119
-0.9467709,351,810.106031
-0.4390429,350,811.316312
-1.4947373,357,812.26053
-0.65930015,354,813.834447
-0.36488998,352,815.887379
-0.62017924,366,816.766083
-1.6963828,369,833.203055
-0.1650812,352,834.568898
-0.46090558,343,835.451097
-0.8569656,347,836.279289
0.053469468,365,837.092328
-0.7342319,357,839.350912
-0.45982978,353,841.212119
-0.38346344,360,842.243313
0.007278934,350,858.026456
-0.20722686,363,858.908654
-1.0017416,350,859.752179
-0.09037447,366,861.224425
-0.32010266,368,862.20717
-0.43904978,364,864.298656
-0.5193648,347,865.292528
-0.75476706,351,866.571818
-0.23582421,348,888.103095
-0.10584918,346,888.950289
-0.07585605,356,890.140705
-0.44967157,348,891.532248
-0.012300496,365,892.970289
-0.5714122,339,893.855492
-0.6814956,352,895.509032
-0.3035404,357,897.0694
-0.24105385,346,911.803105
-0.95925725,340,912.751342
-0.73341066,365,914.294484
-0.79718685,348,916.092613
-0.1987139,348,916.971995
-0.86009324,367,917.974227
-0.04471064,342,919.097278
-0.6764403,355,921.281077
0.46011052,359,936.527394
0.038214006,361,937.546137
-0.88212293,360,939.009659
-0.781848,347,940.134183
-0.46480012,351,941.011322
-0.020339698,342,942.036753
-0.77304894,362,943.587463
-0.102506064,350,945.772977
-0.10593897,362,962.99044
-0.4715174,363,964.056834
-0.51201177,350,964.892038
-0.25392306,347,965.925047
-0.08344828,353,967.085315
-0.0729167,341,968.112548
-0.8225304,363,969.353973
-0.50129265,366,972.040709
-0.3449945,355,987.247565
-0.6728385,354,988.278604
0.26008815,352,989.226323
-0.23715095,365,990.453302
-0.08483996,367,991.968977
-0.40500775,363,992.818684
-1.4127425,357,993.716394
-0.26726648,356,996.281415
-0.39809832,349,1011.037516
-0.47877622,362,1012.703446
-0.5740334,364,1013.73278
-0.7825698,364,1014.955061
-2.044446,351,1015.847398
-0.3701059,357,1017.121506
-0.9997088,367,1018.209753
0.19424391,364,1021.033852
-0.80953234,361,1041.090263
-0.36502525,343,1041.090263
-0.48218924,349,1042.90587
-0.2775989,359,1043.714053
-0.9618292,354,1044.80678
-0.60397637,366,1046.620349
-1.3161466,369,1047.850797
-0.84451836,358,1049.973205
-0.17816134,337,1063.468226
-0.21152231,357,1065.251544
-0.4898053,340,1066.242477
-0.40293533,335,1067.078676
-0.95609415,353,1068.460008
-0.043644793,342,1070.037701
-0.042286124,346,1071.422647
0.0070908945,356,1073.964646
-0.3882774,342,1085.496971
-0.49206266,353,1087.913972
-0.07832582,359,1088.778167
-0.641503,354,1088.778167
-0.667275,360,1090.305289
-0.5101927,352,1091.494072
-0.13478224,355,1092.968406
-0.7136778,344,1094.83597
-0.27010503,349,1106.916828
-0.79940915,346,1109.204094
-0.046942934,351,1110.094925
-3.0711267,350,1110.901108
0.030669952,340,1111.997249
0.031488627,348,1113.541524
-0.36780143,355,1115.390106
-0.97851187,340,1116.741352
-0.46349478,349,1128.952175
-0.69132584,347,1131.031674
-0.52987766,353,1132.197937
-0.27804402,353,1133.01216
-0.41579428,359,1134.359464
-0.9151978,346,1135.299955
-0.090854354,349,1137.301407
-1.6565312,344,1138.354708
-1.2541568,342,1149.948363
-0.5045734,336,1151.75281
0.2882227,347,1153.379216
-0.4179539,351,1154.38194
-1.354995,345,1155.614218
-0.33133987,354,1161.584853
-0.16378754,342,1163.284298
0.04019753,348,1163.284298
-0.055947226,343,1174.620441
-0.1354207,337,1176.262053
-1.0573199,353,1178.539578
-0.32333708,357,1179.69784
-0.56256497,351,1180.71307
-0.3908167,353,1181.796359
-0.68449754,340,1183.046252
0.026919654,352,1184.360549
-0.3356574,356,1195.725128
-0.8784634,358,1197.383618
-0.2971122,353,1199.379068
-0.3194645,340,1200.189251
-0.27162075,351,1201.205638
-0.4708764,349,1202.391008
-0.33584216,357,1203.978455
0.02200994,350,1204.96683
-0.75294363,339,1215.865303
-0.1115111,338,1217.489699
0.1813653,341,1219.787315
-1.0561401,357,1221.214637
-0.34000796,353,1222.127875
-0.48313728,349,1223.171201
-0.56547266,344,1224.522576
-0.6887053,341,1225.374834
-0.525892,356,1237.089545
-0.25290585,344,1238.214909
-0.12606712,342,1240.30038
-0.5492098,351,1242.00379
0.055282056,351,1242.922089
-0.35392925,348,1243.816347
-0.4152092,346,1245.099676
-0.45624945,352,1246.24099
-0.14298914,351,1258.723037
-0.39757648,351,1259.869296
-0.12717648,362,1262.535998
-0.20150377,341,1263.611241
-0.22147685,342,1264.582486
-0.082467735,352,1265.505211
-0.37959245,351,1266.983608
-0.5140516,343,1266.984609
-0.12685047,348,1278.732287
-0.5371982,350,1279.958569
-0.22068168,344,1287.593988
-0.06757802,351,1288.896321
-0.05503829,347,1288.896321
-0.060435083,350,1290.002347
-0.2892828,344,1291.284073
-0.6378568,352,1292.425122
-0.07455477,338,1303.798333
-0.08736846,354,1305.637761
-0.25694165,350,1307.828269
-0.7831155,345,1308.949565
-0.82999724,354,1310.107908
0.2792558,349,1310.9601
-0.64607185,341,1311.850327
-0.092645496,343,1313.015643
-0.36382765,346,1324.285226
